МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2006 ДО 31.07.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",4710,3950,4050,4421,429,72360201,17206,20
  Blagoj \orev Veles,"25,56 EMU",1746,1400,1400,1716,28,12272988,7777,10
  Beton Skopje,500 DEM,4300,3478,3478,4300,45,2591809,669,15
  Granit Skopje,5 EMU,435,349,371,428,334,35685715,93949,20
  Evropa Skopje,100 DEM,1201,1140,1140,1201,27,2868030,2449,14
  @ito Vardar Veles,"51,13 EMU",690,690,690,690,2,1022580,1482,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",2151,1350,1350,2054,72,5635375,3354,16
  Investbanka Skopje,2670 DEN,4800,4300,4300,4800,24,2341782,522,11
  Interne{enal Hotels AD Skopje,1 EMU,301,301,301,301,1,2687930,8930,1
  KIB Kumanovo,"2741,56 DEN",1400,1300,1310,1350,7,1361460,1030,5
  Komercijalna banka Skopje,1000 DEN,6000,4949,4949,5951,349,157105493,28050,20
  Komuna Skopje,50 DEM,250,250,250,250,5,180500,722,4
  Karpo{ Skopje,200 DEM,2396,2396,2396,2396,1,23960,10,1
  Makpetrol Skopje,"511,29 EMU",31500,27000,27300,31500,132,28086479,956,18
  Makedonija Turist Skopje,"25,56 EMU",2537,2400,2500,2537,23,5493603,2211,8
  Ohridska banka Ohrid,2650 DEN,8800,7300,7300,8051,29,14713050,1873,14
  OHIS Skopje,"51,12 EMU",147,145,145,147,2,37173,255,2
  Replek Skopje,"562,42 EMU",29000,27100,27100,29000,9,3509170,125,5
  R@ Ekonomika Skopje,10 DEM,50,50,50,50,81,145550,2911,7
  R@ Institut Skopje,10 DEM,400,351,351,351,69,134247,372,18
  R@ Inter-Trans{ped Skopje,"5,11 EMU",20,20,20,20,4,1480,74,1
  R@ Uslugi Skopje,"5,11 EMU",50,40,42,50,58,673452,14361,14
  Stopanska banka Bitola,3000 DEN,11000,9850,9850,10800,86,45198878,4347,15
  Sileks Kratovo,85 DEM,62,62,62,62,1,11160,180,1
  Sileksbanka Skopje,"43,46 EMU",320,320,320,320,2,464320,1451,1
  Skopski Pazar Skopje,"51,13 EMU",6200,6000,6200,6000,17,5738875,953,8
  R@ Makstil Skopje,"5,11 EMU",74,33,33,74,228,6108209,116545,20
  Teteks Tetovo,100 DEM,310,310,310,310,1,812200,2620,1
  Tehnometal Vardar Skopje,"51,13 EMU",950,858,858,950,3,90492,100,2
  Toplifikacija Skopje,100 DEM,3700,3399,3399,3700,108,17262909,4925,18
  TTK Banka AD Skopje,1000 DEN,1500,1400,1400,1500,4,290000,200,1
  Fer{ped Skopje,37400 DEN,99900,80000,80000,99900,21,9925369,117,11
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,4200,3900,3900,4200,2,183000,45,2
  Komercijalna banka Skopje,1000 DEN,5800,4700,4850,5800,38,4052700,794,12
  Stopanska Banka Bitola,3000 DEN,10000,9155,9155,10000,2,19155,2,2
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,87,86.3,86.5,86.9,273,44291687,835463,20
  R.Makedonija - denacionalizacija 01,,84.3,83.8,83.8,84.3,2,85835,1670,2
  R.Makedonija - denacionalizacija 02,1 EUR,83,82,83,82.3,11,2288345,45335,8
  R.Makedonija - denacionalizacija 03,1 EMU,81,80,81,80.5,40,13615160,276336,17
  R.Makedonija - denacionalizacija 04,1 EMU,80,78.8,80,79,80,16793900,347011,19
  R.Makedonija - denacionalizacija 05,1 EMU,80,78,79,78.5,213,32371387,672722,20
Vkupno OFICIJALEN PAZAR,,,,,,2863,548535608,2500104,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Agroplod Resen,"511,3 EMU",12260,12260,12260,12260,1,9660880,788,1
  Gradski Trgovski Centar Skopje,50 EMU,1300,1300,1300,1300,2,117000,90,1
  @AS Skopje,"37,48 EMU",150,150,150,150,2,24450,163,2
