МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2007 ДО 31.10.2007 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
Beton Skopje,500 DEM,52500,40000,49500,40000,249,56412173,1206,19
  Investbanka Skopje,2670 DEN,11000,9200,11000,9496,10,1435017,143,5
  Komercijalna banka Skopje,1000 DEN,7890,7200,7650,7226,465,247630328,32080,20
  Toplifikacija Skopje,100 DEM,19000,14700,18362,14700,370,77435610,4388,20
Super kotacija - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,9999,9100,9100,9999,5,132897,14,4
  Komercijalna banka Skopje,1000 DEN,7500,7100,7300,7100,6,482655,67,5
Berzanska kotacija - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",13301,10550,12803,10601,729,143706669,11571,20
  Vitaminka Prilep,50 EMU,18000,16500,18000,16899,40,10625828,606,12
  Granit Skopje,5 EMU,2760,2125,2717,2200,518,79351744,31380,20
  Dimko Mitrev Veles,"51,13 EMU",1251,1251,1251,1251,1,66303,53,1
  EMO Ohrid,"30,68 EMU",2500,2395,2490,2395,26,6212725,2523,6
  @ito Luks Skopje,"35,79 EMU",1230,910,1102,970,106,7213037,6536,18
  @ito Vardar Veles,"51,13 EMU",10616,8620,9520,9600,89,12899400,1298,18
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",15950,13299,15498,13299,229,53662478,3590,20
  Interne{enal Hotels AD Skopje,1 EMU,381,381,381,381,1,1701165,4465,1
  KIB Kumanovo,"2741,56 DEN",2500,2289,2300,2321,14,1849745,763,9
  Kiro ]u~uk Veles,"153,38 EMU",10949,9000,9999,9999,77,18403829,1808,14
  Komuna Skopje,50 DEM,1500,1104,1490,1200,52,4492282,3207,17
  Lotarija na Makedonija Skopje,"51,03 EMU",7200,5838,7200,5838,9,1357380,210,7
  GP Mavrovo Skopje,"51,13 EMU",2300,1665,2244,1802,211,19000876,9627,20
  Makoteks Skopje,"35,9 EMU",400,400,400,400,2,56000,140,2
  Mako{ped Skopje,1000 DEN,2399,1900,2300,1900,70,6469616,2896,17
  Hoteli Metropol Ohrid,5 EMU,1670,1430,1505,1477,96,14919135,9413,17
  Makpetrol Skopje,"511,29 EMU",160000,139000,156000,139000,184,119766893,772,20
  Makedonija Turist Skopje,"25,56 EMU",9300,7999,9300,8000,77,23391221,2834,17
  Ohridska banka Ohrid,2650 DEN,9300,8157,9300,8157,101,30289341,3441,18
  OHIS Skopje,"51,12 EMU",1150,865,1048,870,101,4707192,4418,18
  Replek Skopje,"562,42 EMU",85010,80000,85000,80000,11,2440023,29,7
  R@ Ekonomika Skopje,10 DEM,880,650,750,650,126,7422723,9593,18
  R@ Institut Skopje,10 DEM,2400,2000,2300,2000,46,657413,298,16
  R@ Inter-Trans{ped Skopje,"5,11 EMU",566,401,456,500,241,12707057,24049,20
  R@ Uslugi Skopje,"5,11 EMU",1760,1300,1303,1332,491,86243221,60195,20
  Stopanska banka Bitola,3000 DEN,12001,10500,11799,10500,81,23353561,2056,18
  Skopski Pazar Skopje,"51,13 EMU",49000,39605,49000,41000,40,31907839,697,13
  R@ Makstil Skopje,"5,11 EMU",840,635,740,635,757,84632781,112591,20
  Teteks Tetovo,100 DEM,6300,5205,5900,5205,167,34715116,5776,17
  Tehnometal Vardar Skopje,"51,13 EMU",7000,5064,6559,5202,34,3011330,490,12
