МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.12.2009 ДО 30.12.2009 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
Komercijalna banka Skopje,1000 DEN,3200,2700,3000,2800,179,36600439,12934,21
  Toplifikacija Skopje,"51,13 EUR",5600,4599,4992,4700,129,9741988,1949,20
Berzanska kotacija - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EUR",5299,4662,5050,4720,375,36292446,7324,21
  Beton Skopje,"255,65 EUR",12499,10702,11001,12499,8,382713,34,5
  Vitaminka Prilep,"51,76 EUR",8500,8500,8500,8500,2,127500,15,2
  Granit Skopje,5 EUR,820,704,750,750,222,17673930,23549,21
  EMO Ohrid,"30,68 EUR",280,250,250,280,2,60750,231,2
  @ito Luks Skopje,"35,79 EUR",222,222,222,222,1,111000,500,1
  @ito Vardar Veles,"51,13 EUR",2251,2151,2251,2151,5,235150,108,3
  ZK Pelagonija Bitola,"51,13 EUR",3900,3400,3601,3400,37,1997631,549,16
  Stater Banka Kumanovo,"1720,00 DEN",1000,1000,1000,1000,1,30000,30,1
  Komuna Skopje,"25,56 EUR",360,350,350,360,5,437800,1228,5
  Mako{ped Skopje,1000 DEN,450,370,450,370,8,152090,390,5
  Hoteli Metropol Ohrid,5 EUR,260,226,260,226,5,231080,928,3
  Makpetrol Skopje,"511,29 EUR",43400,36000,40000,37000,126,12341932,319,19
  Makedonijaturist Skopje,"25,56 EUR",3000,2800,3000,3000,9,292110,102,7
  Ohridska banka Ohrid,2650 DEN,2700,2250,2650,2300,17,1156250,458,8
  OHIS Skopje,"51,12 EUR",181,180,181,180,3,76725,425,1
  Replek Skopje,"562,42 EUR",44500,42500,44001,44500,11,837500,19,8
  R@ Ekonomika Skopje,10 DEM,63,63,63,63,2,116550,1850,1
  R@ Inter-Trans{ped Skopje,"5,11 EUR",81,71,81,71,4,154432,2172,2
  R@ Uslugi Skopje,"5,11 EUR",461,350,401,352,57,2938703,7640,16
  Stopanska banka Bitola,3000 DEN,3890,3300,3820,3600,129,6815380,1878,21
  Skopski Pazar Skopje,"51,13 EUR",12000,11400,12000,11500,9,519400,45,6
  Makstil Skopje,"5,11 EUR",275,200,250,205,166,8029245,34383,20
  Teteks Tetovo,"50,4 EUR",900,900,900,900,1,90000,100,1
  Tehnometal Vardar Skopje,"51,13 EUR",1102,1002,1102,1100,3,98574,92,3
  Vinarska vizba Tikve{ Skopje,"51,13 EUR",3500,3000,3500,3000,6,252500,80,5
  Tutunski kombinat Prilep,"51,13 EUR",500,500,500,500,1,3500,7,1
  TTK Banka AD Skopje,1000 DEN,950,766,890,830,26,1215980,1415,12
