МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2017 ДО 30.06.2017 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2787,2599,2690,2659,182,29589359,11120,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5850,5701,5701,5805,126,35935016,6204,20
Бетон Скопје,255.65 EUR,10815,10500,10701,10815,13,1389210,130,7
Фершпед Скопје,37400.00 MKD,46000,44620,,45000,10,456240,10,5
Гранит Скопје,5.00 EUR,780,706,759,739,114,14732155,19443,19
Макошпед Скопје,1000.00 MKD,230,190,228,230,6,27800,130,6
Хотели Метропол Охрид,5.00 EUR,230,230,230,230,1,3450,15,1
Макпетрол Скопје,511.29 EUR,28500,27498,27498,28000,70,10870722,390,17
Македонијатурист Скопје,25.56 EUR,3680,3600,3610,3680,17,3205635,888,9
Охридска банка АД Скопје,2650.00 MKD,5253,4672,4801,5100,40,4323961,869,13
Реплек Скопје,562.42 EUR,45000,44000,44000,44000,4,750000,17,4
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,575,23,1
РЖ Услуги Скопје,5.11 EUR,126,115,118,126,40,1351991,11281,13
Стопанска банка Битола,3000.00 MKD,1485,1340,1485,1370,17,1788825,1302,6
Макстил Скопје,5.11 EUR,105,91,91,105,97,4126400,42359,17
Тетекс Тетово,50.40 EUR,1290,1200,1290,1200,3,512250,425,3
Винарска визба Тиквеш Скопје,51.13 EUR,2999,2434,2999,2500,9,561232,226,5
Топлификација Скопје,51.13 EUR,2083,1365,1894,1475,87,5028178,3024,16
ТТК Банка АД Скопје,1000.00 MKD,736,709,709,722,6,273859,380,4
Витаминка Прилеп,52.78 EUR,8800,8800,8800,8800,2,176000,20,2
Жито Лукс Скопје,35.79 EUR,150,150,150,150,2,75000,500,2
ЗК Пелагонија Битола,70.21 EUR,2600,2500,2600,2500,10,740628,296,5
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 08,1.00 EUR,95.3,95.3,95.3,95.3,1,25805.59,439,1
Р. Македонија - денационализација 12,1.00 EUR,95,95,95,95,1,326986.58,5579,1
Р. Македонија - денационализација 13,1.00 EUR,95.7,95,95.7,95,2,16646.33,284,2
Р. Македонија - денационализација 14,1.00 EUR,95,94.7,94.7,95,3,335117.32,5728,3
Р. Македонија - денационализација 15,1.00 EUR,96,92,92,96,25,11718085.58,198829,10
Задолжителна котација - обични акции,,,,,,,,,
Рудници Бањани Скопје,50.00 DEM,550,550,550,550,1,38500,70,1
Благој Ѓорев Велес,25.56 EUR,350,350,350,350,1,315000,900,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,905,870,880,905,4,156687,175,2
Европа Скопје,51.13 EUR,3142,3142,3142,3142,1,9426,3,1
Карпош Скопје,17.04 EUR,500,500,500,500,2,600000,1200,1
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,32,546000,546,10
МЗТ Пумпи Скопје,51.00 EUR,600,600,600,600,4,78600,131,2
Огражден Струмица,50.00 EUR,1250,1250,1250,1250,3,465000,372,1
Нова стоковна куќа Струмица,1000.00 EUR,61500,61500,61500,61500,13,11500500,187,4
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,2,900000,150,2
ОКТА Скопје,51.12 EUR,2800,2500,2500,2759,23,2462273,942,8
"Пекабеско АД Кадино, Илинден",46.00 EUR,13000,12610,13000,13000,6,877910,68,4
Прилепска Пиварница Прилеп,125.00 EUR,40000,40000,40000,40000,1,40000,1,1
Раде Кончар Скопје,25.00 EUR,1515,1515,1515,1515,2,196950,130,2
РЖ Економика Скопје,10.00 DEM,30,30,30,30,1,37110,1237,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,20,16,16,20,5,36018,2137,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,30,23,23,30,3,28906,1132,3
Стопанска банка Скопје,201.10 MKD,969,850,949,888,200,28012812,29964,16
Македонски Телеком Скопје,100.00 MKD,253,241,252,241,22,1651103,6679,9
НЛБ Банка АД Скопје,1000.00 MKD,10890,9801,9960,10890,91,29056177,2788,18
Универзална Инвестициона Банка Скопје,1000.00 MKD,1980,1599,1600,1980,87,7549670,4335,16
Цементарница УСЈЕ Скопје,3100.00 MKD,23000,22750,22750,23000,5,503025,22,4
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,770,685,690,770,38,3074229,4348,13
Вкупно Официјален пазар,,,,,,1436,216477023.4,367428,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Гетро Гостивар,10726.00 MKD,3000,3000,3000,3000,1,9000,3,1
Слободен пазар - обични акции,,,,,,,,,
Галеб Охрид,50.00 EUR,600,600,600,600,6,5982600,9971,3
