МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2017 ДО 29.09.2017 ГОДИНА,,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување,
Официјален пазар,,,,,,,,,,
Супер котација - обични акции,,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2939,2851,2930,2870,305,60208728,20783,20,
Берзанска котација - обични акции,,,,,,,,,,
Алкалоид Скопје,25.56 EUR,7601,6790,6840,7500,257,54886169,7661,20,
Бетон Скопје,255.65 EUR,13000,11800,13000,11810,8,1344030,105,3,
Гранит Скопје,5.00 EUR,890,850,870,850,92,12307470,14001,16,
Макошпед Скопје,1000.00 MKD,274,274,274,274,2,68500,250,1,
Хотели Метропол Охрид,5.00 EUR,282,270,282,280,19,1054537,3820,10,
Макпетрол Скопје,511.29 EUR,31140,29400,31000,29400,111,19896513,643,18,
Македонијатурист Скопје,25.56 EUR,4899,4500,4500,4899,34,6688828,1435,12,
Охридска банка АД Скопје,2650.00 MKD,5900,5700,5900,5800,31,4902079,837,10,
Реплек Скопје,562.42 EUR,52000,48519,48519,52000,7,1127843,22,5,
РЖ Институт Скопје,5.11 EUR,120,120,120,120,1,1800,15,1,
РЖ Услуги Скопје,5.11 EUR,155,111,153,132,31,1550397,12672,15,
Стопанска банка Битола,3000.00 MKD,2280,2180,2180,2280,40,8067137,3631,11,
Скопски Пазар Скопје,51.13 EUR,,,,18000,1,0,0,1,
Макстил Скопје,5.11 EUR,142,128,142,128,66,3314554,24333,16,
Винарска визба Тиквеш Скопје,51.13 EUR,3248,3107,3201,3248,4,493755,155,3,
Топлификација Скопје,51.13 EUR,1700,1555,1700,1555,59,4988793,3136,11,
ТТК Банка АД Скопје,1000.00 MKD,830,752,825,752,37,4791284,5841,9,
Витаминка Прилеп,52.78 EUR,8400,7920,8400,7920,2,81600,10,2,
Жито Лукс Скопје,35.79 EUR,143,143,143,143,1,14300,100,1,
ЗК Пелагонија Битола,70.21 EUR,2600,2501,2551,2501,9,268087,105,7,
Берзанска котација - обврзници,,,,,,,,,,
Р. Македонија - денационализација 10,1.00 EUR,95.5,95.5,95.5,95.5,1,31227.33,530,1,
Р. Македонија - денационализација 13,1.00 EUR,96.2,95,96.2,95,2,404739.8,6849,2,
Р. Македонија - денационализација 14,1.00 EUR,95,92,92,95,4,299917.49,5185,2,
Р. Македонија - денационализација 15,1.00 EUR,97.8,92.5,95,92.5,26,9050646.37,153147,6,
Задолжителна котација - обични акции,,,,,,,,,,
Адинг Скопје,9.98 EUR,659,659,659,659,2,65900,100,1,
ФЗЦ 11 Октомври Куманово,51.13 EUR,1145,1050,1145,1050,10,480025,422,4,
Централна кооперативна банка Скопје,41.21 EUR,400,400,400,400,1,3200,8,1,
Факом Скопје,51.13 EUR,6000,6000,6000,6000,1,60000,10,1,
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1485,1485,1485,1485,3,51975,35,1,
Карпош Скопје,17.04 EUR,499,485,499,485,2,883220,1772,2,
Лотарија на Македонија Скопје,51.03 EUR,600,250,250,600,3,16950,47,3,
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,1,11000,11,1,
ОКТА Скопје,51.12 EUR,3450,3000,3450,3300,10,747926,244,7,
"Пекабеско АД Кадино, Илинден",46.00 EUR,14500,14100,14100,14300,12,1528510,107,6,
Попова Кула Демир Капија,61.50 MKD,14,13,13,14,2,41800,3200,2,
Прилепска Пиварница Прилеп,125.00 EUR,40500,38000,40500,38000,10,2181602,55,7,
