МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2018 ДО 30.11.2018 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5451,4996,5410,4996,390,85797745,16337,22
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8350,8100,8301,8240,135,21011300,2543,21
Бетон Скопје,255.65 EUR,9682,9000,9400,9000,11,736868,78,8
Фершпед Скопје,37400.00 MKD,70000,68000,68000,70000,5,1321000,19,4
Гранит Скопје,5.00 EUR,865,805,849,805,112,17718273,21032,18
Макошпед Скопје,1000.00 MKD,200,169,200,169,14,629950,3480,5
Хотели Метропол Охрид,5.00 EUR,389,345,389,355,5,472240,1348,4
Макпетрол Скопје,511.29 EUR,51000,47000,48000,47500,115,21448686,440,21
Македонијатурист Скопје,25.56 EUR,5299,4850,5170,4995,39,9621695,1923,13
Охридска банка АД Скопје,2650.00 MKD,6870,6580,6580,6600,60,17953311,2676,15
Реплек Скопје,562.42 EUR,71000,68000,68000,68001,4,619001,9,4
РЖ Институт Скопје,5.11 EUR,120,120,120,120,1,240,2,1
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,2,12725,509,2
РЖ Услуги Скопје,5.11 EUR,131,110,131,113,8,213113,1858,4
Стопанска банка Битола,3000.00 MKD,2700,1949,2560,1950,61,9705497,3944,13
Скопски Пазар Скопје,51.13 EUR,,,,16818,1,0,0,1
Макстил Скопје,5.11 EUR,144,120,140,128,61,2298665,17612,16
Тетекс Тетово,50.40 EUR,2500,2140,2140,2499,48,10982283,4536,12
Винарска визба Тиквеш Скопје,51.13 EUR,5900,5500,5900,5500,7,664084,118,5
Топлификација Скопје,51.13 EUR,1000,900,1000,900,2,98800,99,2
ТТК Банка АД Скопје,1000.00 MKD,1350,1200,1300,1250,62,10703389,8480,17
Витаминка Прилеп,52.78 EUR,9200,9189,9189,9200,2,110378,12,2
Жито Лукс Скопје,35.79 EUR,247,230,247,230,3,140490,588,3
ЗК Пелагонија Битола,70.21 EUR,2865,2850,2865,2850,3,180180,63,3
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 09,1.00 EUR,98.3,98.3,98.3,98.3,1,23817.14,394,1
Р. Македонија - денационализација 10,1.00 EUR,97.4,97.4,97.4,97.4,1,9882.86,165,1
Р. Македонија - денационализација 11,1.00 EUR,97.3,97.3,97.3,97.3,1,39490.86,660,1
Р. Македонија - денационализација 14,1.00 EUR,97.6,96.3,96.3,97.6,5,530571.61,8901,3
Р. Македонија - денационализација 15,1.00 EUR,97.2,96.5,96.5,97.2,3,441881.54,7410,2
Р. Македонија - денационализација 16,1.00 EUR,96.4,96,96,96,16,2427304.65,41100,8
Р. Македонија - денационализација 17,1.00 EUR,96.7,96.4,96.4,96.5,15,2603860.84,43881,10
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,700,618,618,700,4,467480,710,3
Благој Ѓорев Велес,25.56 EUR,320,320,320,320,1,160000,500,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,1001,1000,1000,1000,49,3440356,3440,16
Централна кооперативна банка Скопје,41.21 EUR,700,700,700,700,2,111300,159,2
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1550,1550,1550,1550,2,306900,198,2
Мермерен комбинат Прилеп,1.00 EUR,2058,1999,2021,2058,7,671282,331,4
Огражден Струмица,50.00 EUR,1250,1250,1250,1250,2,248750,199,2
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,2,318000,53,2
ОКТА Скопје,51.12 EUR,5137,4350,5000,4350,31,2476890,506,12
"Пекабеско АД Кадино, Илинден",46.00 EUR,15500,14900,15400,14900,9,566900,37,6
Попова Кула Демир Капија,61.50 MKD,20,20,20,20,4,43240,2162,2
Прилепска Пиварница Прилеп,125.00 EUR,48100,46127,46127,48100,2,142327,3,1
Раде Кончар Скопје,25.00 EUR,1816,1816,1816,1816,1,9080,5,1
РЖ Економика Скопје,10.00 DEM,30,30,30,30,3,46890,1563,2
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,21,16,16,21,9,84633,4423,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,65,56,56,65,11,352821,5697,6
РЖ Техничка контрола Скопје,5.11 EUR,550,550,550,550,6,72600,132,4
Силекс Кратово,42.96 EUR,70,70,70,70,2,17500,250,1
Сковин Скопје,310.00 MKD,500,500,500,500,1,500,1,1
Славеј Скопје,50.00 EUR,3600,3600,3600,3600,2,288000,80,1
Стопанска банка Скопје,201.10 MKD,1300,1185,1197,1250,269,62905383,51293,22
