МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.12.2019 ДО 30.12.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6648,6170,6199,6648,377,143108057,22632,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,11901,11201,11220,11900,225,62873637,5515,20
Бетон Скопје,255.65 EUR,7400,7000,7095,7400,19,1803525,248,7
Фершпед Скопје,37400.00 MKD,74000,73000,73000,74000,9,3800060,52,6
Гранит Скопје,5.00 EUR,1135,1020,1049,1100,228,45477957,42925,17
Макошпед Скопје,1000.00 MKD,240,192,192,235,7,212513,1044,6
Хотели Метропол Охрид,5.00 EUR,293,285,293,285,4,209135,731,2
Макпетрол Скопје,511.29 EUR,77999,75000,76490,77850,187,60423065,792,19
Македонијатурист Скопје,25.56 EUR,5690,5335,5360,5600,28,7603541,1380,14
Охридска банка АД Скопје,2650.00 MKD,5535,4950,5535,5060,12,1120641,220,5
Реплек Скопје,562.42 EUR,77000,76000,76000,77000,2,844000,11,1
РЖ Институт Скопје,5.11 EUR,90,90,90,90,1,2700,30,1
РЖ Услуги Скопје,5.11 EUR,75,70,75,70,19,508340,7070,8
Стопанска банка Битола,3000.00 MKD,3182,2300,2600,3100,95,30307826,10135,14
Макстил Скопје,5.11 EUR,96,91,91,91,22,1471231,15856,8
Тетекс Тетово,50.40 EUR,2350,2220,2300,2300,29,3207189,1408,10
Тутунски комбинат Прилеп,51.13 EUR,250,250,250,250,1,7500,30,1
ВВ Тиквеш АД Кавадарци,51.13 EUR,5721,5500,5500,5720,13,5963975,1054,7
ТТК Банка АД Скопје,1000.00 MKD,1560,1500,1500,1560,62,15047573,9844,16
Витаминка Прилеп,52.78 EUR,13066,12000,12365,13066,8,1490692,120,6
Жито Лукс Скопје,35.79 EUR,174,150,150,174,4,103728,672,3
ЗК Пелагонија Битола,70.21 EUR,1470,1470,1470,1470,9,676200,460,8
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,9476,8211,8211,9476,10,2052150,236,8
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 13,1.00 EUR,99,99,99,99,1,322703.1,5301,1
Р. Македонија - денационализација 14,1.00 EUR,99,99,99,99,5,1492202.66,24511,2
Р. Македонија - денационализација 15,1.00 EUR,99.5,99.5,99.5,99.5,1,70675.15,1155,1
Р. Македонија - денационализација 16,1.00 EUR,98.5,98.5,98.5,98.5,6,282017.92,4654,3
Р. Македонија - денационализација 18,1.00 EUR,98.8,98.7,98.7,98.7,37,6962577.8,114601,11
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,44.48 EUR,2398,2398,2398,2398,2,9592,4,2
ФЗЦ 11 Октомври Куманово,51.13 EUR,601,583,601,584,5,228761,385,3
Интерпромет Тетово,51.13 EUR,1500,1500,1500,1500,10,616500,411,5
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1600,1600,1600,1600,1,320000,200,1
Лотарија на Македонија Скопје,51.03 EUR,100,100,100,100,1,8000,80,1
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,5,1320000,220,4
ОКТА Скопје,51.12 EUR,4800,4560,4600,4800,34,3475217,736,14
Пекабеско Скопје,46.00 EUR,12300,12300,12300,12300,1,49200,4,1
Прилепска Пиварница Прилеп,125.00 EUR,41000,39000,39000,41000,10,4147180,103,8
РЖ Економика Скопје,10.00 DEM,48,48,48,48,1,21024,438,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,18,15,18,15,3,22515,1301,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,40,40,40,40,1,8000,200,1
РЖ Техничка контрола Скопје,5.11 EUR,700,660,660,700,3,169700,243,3
Сигурносно стакло Прилеп,51.20 EUR,360,360,360,360,3,75600,210,1
Стопанска банка Скопје,201.10 MKD,1205,1150,1160,1205,61,12572350,10638,16
Македонски Телеком Скопје,100.00 MKD,324,307,307,320,25,3392214,10778,11
НЛБ Банка АД Скопје,1000.00 MKD,17999,16500,16500,17200,88,30175260,1806,18
Универзална Инвестициона Банка Скопје,1000.00 MKD,2449,2210,2300,2449,73,18620485,8143,13
Цементарница УСЈЕ Скопје,3100.00 MKD,25100,25100,25100,25100,1,25100,1,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,656,656,656,656,1,32800,50,1
Вкупно Официјален пазар,,,,,,1750,472734909.63,308638,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Гетро Гостивар,10726.00 MKD,3000,3000,3000,3000,2,12000,4,1
Слободен пазар - обични акции,,,,,,,,,
Металец Битола,51.13 EUR,1263,1263,1263,1263,1,12630,10,1
Квасара Битола,51.13 EUR,17000,17000,17000,17000,3,595000,35,2
Македонска Берза,607.10 EUR,,,,50000,1,0,0,1
РК Еурофарм Работник АД Битола,50.00 EUR,3075,3075,3075,3075,1,384375,125,1
РК Пелистер АД Битола,100.00 EUR,6149,6149,6149,6149,1,1149863,187,1
Солун 2001 Гевгелија,5.00 EUR,293,293,293,293,1,29300,100,1
ЗК Кичево АД Кичево,100.00 DEM,531,531,531,531,5,665874,1254,1
Златара Рубин Скопје,51.13 EUR,6150,6150,6150,6150,1,430500,70,1
Вкупно Редовен пазар,,,,,,16,3279542,1785,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на акции,,,,,,,,,
Нова стоковна куќа АД Струмица-јавна понуда за прод. на сопствени акции,1000.00 EUR,61500,61500,61500,61500,2,17097000,278,1
Вкупно Јавна понуда на хв,,,,,,2,17097000,278,
Вкупно сите пазари ,,,,,,1768,493111451.63,310701,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,6301,,2974072,472,
Комерцијална банка Скопје,,,,,6014,,90210000,15000,
Комерцијална банка Скопје,,,,,6014,,30070000,5000,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,11000,,2992000,272,
Гранит Скопје,,,,,1050,,13296150,12663,
Макпетрол Скопје,,,,,75500,,3020000,40,
Макпетрол Скопје,,,,,75500,,2642500,35,
Стопанска банка Битола,,,,,3180,,2035200,640,
Стопанска банка Битола,,,,,3075,,21248250,6910,
ТТК Банка АД Скопје,,,,,1510,,4477150,2965,
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,,,,,1624,,6169576,3799,
Оилко КДА Скопје,,,,,6000,,2010000,335,
Оилко КДА Скопје,,,,,6000,,2760000,460,
Оилко КДА Скопје,,,,,6000,,5700000,950,
НЛБ Банка АД Скопје,,,,,18000,,71208000,3956,
НЛБ Банка АД Скопје,,,,,16700,,2454900,147,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Македонска Берза,,,,,61526.1,,9105862.8,148,
