МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.02.2019 ДО 28.02.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5600,5300,5365,5500,311,80199746,14646,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8501,8250,8350,8320,205,35255357,4230,20
Бетон Скопје,255.65 EUR,9400,9000,9400,9300,11,653236,72,7
Фершпед Скопје,37400.00 MKD,76700,72777,72777,76700,11,1981775,26,7
Гранит Скопје,5.00 EUR,824,801,820,810,105,9944479,12174,16
Макошпед Скопје,1000.00 MKD,218,180,181,218,114,26453592,136311,11
Хотели Метропол Охрид,5.00 EUR,380,350,350,380,8,557963,1513,4
Макпетрол Скопје,511.29 EUR,51700,50000,50000,50500,126,21031258,413,19
Македонијатурист Скопје,25.56 EUR,5169,5000,5000,5100,36,5845136,1153,13
Охридска банка АД Скопје,2650.00 MKD,6900,6595,6600,6850,80,12588813,1863,17
Реплек Скопје,562.42 EUR,75000,75000,75000,75000,4,1800000,24,3
РЖ Институт Скопје,5.11 EUR,123,120,120,123,3,2565,21,3
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,20,20,25,7,18260,813,5
РЖ Услуги Скопје,5.11 EUR,108,98,108,108,6,145679,1369,5
Стопанска банка Битола,3000.00 MKD,2715,2281,2300,2700,36,3587021,1428,11
Макстил Скопје,5.11 EUR,129,122,125,123,18,808627,6451,11
Технометал Вардар Скопје,51.13 EUR,80,80,80,80,3,1332800,16660,2
Тетекс Тетово,50.40 EUR,2349,2171,2227,2279,13,797906,353,5
Винарска визба Тиквеш Скопје,51.13 EUR,5499,5250,5250,5499,10,1368610,260,3
