МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2019 ДО 31.01.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5400,5100,5100,5350,284,74426991,13992,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8450,8200,8200,8400,208,60857953,7302,21
Бетон Скопје,255.65 EUR,9400,8700,8800,9400,8,756800,82,6
Фершпед Скопје,37400.00 MKD,75000,69000,69000,75000,8,1316593,18,7
Гранит Скопје,5.00 EUR,840,791,800,812,131,18115531,22013,20
Макотекс Скопје,35.90 EUR,20,20,20,20,1,3200,160,1
Макошпед Скопје,1000.00 MKD,199,172,172,199,6,75616,433,4
Хотели Метропол Охрид,5.00 EUR,350,350,350,350,1,105000,300,1
Макпетрол Скопје,511.29 EUR,50501,47900,47900,50400,152,28855421,579,19
Македонијатурист Скопје,25.56 EUR,5150,5000,5000,5150,18,3668850,728,12
Охридска банка АД Скопје,2650.00 MKD,6700,6434,6500,6695,48,7873340,1191,14
Реплек Скопје,562.42 EUR,74000,71000,71000,74000,8,1449500,20,7
РЖ Услуги Скопје,5.11 EUR,110,105,105,110,10,240729,2200,6
Стопанска банка Битола,3000.00 MKD,2350,2158,2158,2348,8,1286400,560,4
Макстил Скопје,5.11 EUR,128,112,113,121,34,1313448,11089,13
Винарска визба Тиквеш Скопје,51.13 EUR,5300,5201,5201,5300,4,682710,129,3
ТТК Банка АД Скопје,1000.00 MKD,1350,1280,1350,1320,47,6235285,4645,16
Витаминка Прилеп,52.78 EUR,10989,10121,10121,10989,2,75187,7,2
ЗК Пелагонија Битола,70.21 EUR,2350,2350,2350,2350,5,397150,169,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 10,1.00 EUR,98.9,97,97,98.9,2,171931.31,2854,2
Р. Македонија - денационализација 13,1.00 EUR,98,98,98,98,1,241425.74,4000,1
Р. Македонија - денационализација 14,1.00 EUR,98.2,98.2,98.2,98.2,1,295833.07,4899,1
Р. Македонија - денационализација 16,1.00 EUR,98.1,97.5,97.5,98.1,3,418617.79,6963,3
Р. Македонија - денационализација 17,1.00 EUR,98.1,97.5,97.5,98.1,10,3486245.83,58042,8
Задолжителна котација - обични акции,,,,,,,,,
Благој Ѓорев Велес,25.56 EUR,270,270,270,270,1,81000,300,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,919,893,893,919,8,524118,577,7
Герас Цунев конфекција Струмица,15.00 EUR,500,500,500,500,1,540000,1080,1
Герас Цунев трговија Струмица,15.00 EUR,500,500,500,500,1,566000,1132,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1590,1500,1590,1500,3,406440,265,3
Фруктал МАК Скопје,5.11 EUR,119,119,119,119,1,11900,100,1
Карпош Скопје,17.04 EUR,298,298,298,298,2,51852,174,2
ОКТА Скопје,51.12 EUR,4950,4385,4385,4801,29,2025105,440,12
Прилепска Пиварница Прилеп,125.00 EUR,46000,46000,46000,46000,1,460000,10,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,21,15,15,21,9,131563,6795,6
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,88,69,69,88,11,378700,4982,7
Силекс Кратово,42.96 EUR,70,70,70,70,7,52500,750,2
Стопанска банка Скопје,201.10 MKD,1269,1225,1225,1240,60,7596206,6076,15
Македонски Телеком Скопје,100.00 MKD,305,294,294,305,52,5380985,17845,15
НЛБ Банка АД Скопје,1000.00 MKD,15550,14200,14200,15300,53,13613716,916,14
Универзална Инвестициона Банка Скопје,1000.00 MKD,2250,2037,2100,2235,55,11967472,5666,13
Цементарница УСЈЕ Скопје,3100.00 MKD,23500,23500,23500,23500,1,117500,5,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,1142,1142,1142,1142,2,111916,98,1
Вкупно Официјален пазар,,,,,,1297,256366730.74,189586,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Аитоникс АД Скопје,10.00 EUR,300000,300000,300000,300000,1,300000,1,1
Нова осигурување АД Скопје,10.00 EUR,,,,,2,0,0,1
Квасара Битола,51.13 EUR,12200,12200,12200,12200,3,73200,6,2
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,640000,400,1
Солун 2001 Гевгелија,5.00 EUR,182,120,120,182,5,95120,741,3
Вкупно Редовен пазар,,,,,,12,1108320,1148,
Вкупно сите пазари ,,,,,,1309,257475050.74,190734,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
ТТК Банка АД Скопје,,,,,1280,,1536000,1200,
Задолжителна котација - обични акции,,,,,,,,,
Карпош Скопје,,,,,300,,1794300,5981,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Нова осигурување АД Скопје,,,,,587.96,,185207400,315000,
Нова осигурување АД Скопје,,,,,351.37,,12297950,35000,
Квасара Битола,,,,,12101,,1052787,87,
