МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2019 ДО 31.07.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5475,5300,5340,5475,238,39226403,7332,22
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,9350,9002,9050,9350,189,32553557,3560,23
Бетон Скопје,255.65 EUR,8892,8891,8891,8891,4,168935,19,1
Фершпед Скопје,37400.00 MKD,80000,76500,77000,80000,8,1852500,24,7
Гранит Скопје,5.00 EUR,885,841,880,881,121,15704828,18069,19
Макошпед Скопје,1000.00 MKD,216,205,211,216,9,690225,3315,6
Хотели Метропол Охрид,5.00 EUR,350,350,350,350,3,119000,340,2
Макпетрол Скопје,511.29 EUR,63000,61400,61500,62000,135,32194791,521,21
Македонијатурист Скопје,25.56 EUR,5350,5250,5350,5300,12,1887765,357,7
Охридска банка АД Скопје,2650.00 MKD,6100,6031,6031,6050,17,4580124,754,8
Реплек Скопје,562.42 EUR,74000,74000,74000,74000,1,370000,5,1
РЖ Услуги Скопје,5.11 EUR,95,90,90,95,5,69520,765,3
Стопанска банка Битола,3000.00 MKD,2400,2253,2279,2256,21,1575197,691,9
Скопски Пазар Скопје,51.13 EUR,18525,18525,18525,18525,20,4631250,250,4
Макстил Скопје,5.11 EUR,115,97,114,103,41,3587707,35025,17
Тетекс Тетово,50.40 EUR,2385,2208,2385,2359,31,4486659,1906,5
ВВ Тиквеш АД Кавадарци,51.13 EUR,5350,5000,5200,5350,20,4355250,851,4
ТТК Банка АД Скопје,1000.00 MKD,1368,1265,1265,1352,93,27856688,21341,18
Витаминка Прилеп,52.78 EUR,14000,11078,14000,11078,4,217390,17,3
ЗК Пелагонија Битола,70.21 EUR,1507,1500,1507,1500,4,67605,45,3
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,,,,3298,1,0,0,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 10,1.00 EUR,99.1,99.1,99.1,99.1,1,60571.07,994,1
Р. Македонија - денационализација 11,1.00 EUR,99,99,99,99,1,69884.73,1148,1
Р. Македонија - денационализација 12,1.00 EUR,99.1,99.1,99.1,99.1,1,440079.76,7222,1
Р. Македонија - денационализација 13,1.00 EUR,99.1,99.1,99.1,99.1,1,852073.57,13983,1
Р. Македонија - денационализација 14,1.00 EUR,98.5,98.5,98.5,98.5,2,493984.93,8156,1
Р. Македонија - денационализација 16,1.00 EUR,98.2,98.1,98.1,98.2,10,6321302.77,104774,2
Р. Македонија - денационализација 17,1.00 EUR,98.7,98.2,98.2,98.7,10,3502897.07,57769,7
Р. Македонија - денационализација 18,1.00 EUR,98.7,98.6,98.6,98.7,185,58440742.66,962848,23
Берзанска котација - други хартии од вредност,,,,,,,,,
Универзална Инвестициона Банка Скопје - перпетуални обврзници,1000.00 EUR,101.8,101.8,101.8,101.8,2,21909065.15,350,1
Задолжителна котација - обични акции,,,,,,,,,
ФЗЦ 11 Октомври Куманово,51.13 EUR,730,730,730,730,1,29200,40,1
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,2,150000,125,1
Пелистерка АД Скопје,51.00 EUR,2400,2400,2400,2400,2,360000,150,1
Огражден Струмица,50.00 EUR,1250,1250,1250,1250,1,147500,118,1
Оилко КДА Скопје,6000.00 MKD,,,,6000,1,0,0,1
ОКТА Скопје,51.12 EUR,4849,4400,4600,4800,22,1575900,351,9
Прилепска Пиварница Прилеп,125.00 EUR,41105,41105,41105,41105,2,452155,11,2
РЖ Економика Скопје,10.00 DEM,30,30,30,30,1,3000,100,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,21,21,21,21,3,19194,914,2
РЖ Техничка контрола Скопје,5.11 EUR,582,582,582,582,1,58200,100,1
Славеј Скопје,50.00 EUR,3300,3300,3300,3300,1,990000,300,1
Стопанска банка Скопје,201.10 MKD,1125,1040,1050,1125,63,12033465,11331,15
Македонски Телеком Скопје,100.00 MKD,296,290,293,290,15,1378024,4698,6
НЛБ Банка АД Скопје,1000.00 MKD,16000,15699,15999,16000,79,21099459,1328,19
Универзална Инвестициона Банка Скопје,1000.00 MKD,2300,2070,2150,2250,27,4193995,1950,11
Цементарница УСЈЕ Скопје,3100.00 MKD,23500,23050,23500,23050,2,116600,5,2
Вкупно Официјален пазар,,,,,,1413,310892687.71,1273952,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еуросиг осигурување АД Скопје,1000.00 EUR,,,,,1,0,0,1
Фимар Балкан АД Скопје,100.00 EUR,,,,,1,0,0,1
Инвестброкер Скопје,107.84 EUR,4000,4000,4000,4000,2,420000,105,1
КК Гостивар АД Гостивар,100.00 EUR,6150,6150,6150,6150,1,369000,60,1
Квасара Битола,51.13 EUR,15140,14700,15140,14700,2,959900,65,2
Премиум груп АД Скопје,1.00 EUR,120,120,120,120,1,135360,1128,1
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,2,1120000,700,1
РК Работнички АД Скопје,50.00 EUR,3000,3000,3000,3000,4,1275000,425,1
Вкупно Редовен пазар,,,,,,14,4279260,2483,
Вкупно сите пазари ,,,,,,1427,315171947.71,1276435,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5350,,2519850,471,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,24600,,9225000,375,
Скопски Пазар Скопје,,,,,24600,,7380000,300,
Скопски Пазар Скопје,,,,,24600,,32275200,1312,
Скопски Пазар Скопје,,,,,18450,,41678550,2259,
Скопски Пазар Скопје,,,,,18450,,7380000,400,
Скопски Пазар Скопје,,,,,18450,,7195500,390,
Скопски Пазар Скопје,,,,,18450,,5166000,280,
Скопски Пазар Скопје,,,,,18450,,2214000,120,
Скопски Пазар Скопје,,,,,18450,,6549750,355,
Скопски Пазар Скопје,,,,,18450,,63670950,3451,
Скопски Пазар Скопје,,,,,18450,,2583000,140,
Скопски Пазар Скопје,,,,,18450,,2047950,111,
Скопски Пазар Скопје,,,,,18450,,4225050,229,
Скопски Пазар Скопје,,,,,24600,,7380000,300,
Скопски Пазар Скопје,,,,,24600,,30454800,1238,
Скопски Пазар Скопје,,,,,27500,,5225000,190,
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,,,,,3300,,2085600,632,
Задолжителна котација - обични акции,,,,,,,,,
Оилко КДА Скопје,,,,,4800,,9672000,2015,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еуросиг осигурување АД Скопје,,,,,77370,,232110000,3000,
Фимар Балкан АД Скопје,,,,,333334,,2000004,6,
