МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2019 ДО 29.11.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6200,5598,5600,6190,429,114833946,19481,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,11249,11012,11089,11203,187,45567876,4111,21
Бетон Скопје,255.65 EUR,7651,7300,7651,7300,5,522670,70,3
Фершпед Скопје,37400.00 MKD,73000,73000,73000,73000,2,657000,9,2
Гранит Скопје,5.00 EUR,1102,984,1015,1050,98,18743906,17898,17
Макошпед Скопје,1000.00 MKD,194,175,194,175,7,482950,2700,4
Макпетрол Скопје,511.29 EUR,78000,70200,71001,78000,188,52579762,720,16
Македонијатурист Скопје,25.56 EUR,5500,5300,5300,5500,29,15329590,2861,14
Реплек Скопје,562.42 EUR,76923,76310,76310,76923,5,2066287,27,4
РЖ Институт Скопје,5.11 EUR,90,90,90,90,1,2250,25,1
Стопанска банка Битола,3000.00 MKD,2600,2480,2490,2600,12,1158890,457,5
Скопски Пазар Скопје,51.13 EUR,,,,18999,1,0,0,1
Макстил Скопје,5.11 EUR,99,91,99,91,12,340800,3596,6
Тетекс Тетово,50.40 EUR,2420,2300,2315,2351,15,2192804,945,8
ВВ Тиквеш АД Кавадарци,51.13 EUR,5500,5470,5470,5500,16,5333500,970,4
ТТК Банка АД Скопје,1000.00 MKD,1545,1380,1380,1530,46,9488166,6370,12
Витаминка Прилеп,52.78 EUR,11971,11200,11200,11971,3,371913,33,2
Жито Лукс Скопје,35.79 EUR,138,134,135,138,6,247010,1826,3
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,7800,7000,7000,7800,11,4334300,584,6
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 11,1.00 EUR,99,99,99,99,1,750103.1,12321,1
Р. Македонија - денационализација 13,1.00 EUR,98,98,98,98,1,43951.69,729,1
Р. Македонија - денационализација 15,1.00 EUR,98.6,98.6,98.6,98.6,2,251947.51,4155,2
Р. Македонија - денационализација 16,1.00 EUR,99,98.5,98.5,99,6,1036124.05,17070,6
Р. Македонија - денационализација 17,1.00 EUR,99,98.5,98.5,99,2,193589.97,3183,2
Р. Македонија - денационализација 18,1.00 EUR,98.8,98.7,98.7,98.8,57,24098162.68,396897,13
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,44.48 EUR,2001,2000,2001,2000,5,600050,300,4
Рудници Бањани Скопје,50.00 DEM,603,603,603,603,1,47637,79,1
Благој Ѓорев Велес,25.56 EUR,191,191,191,191,1,72580,380,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,601,601,601,601,2,22237,37,1
Фустеларко Борец Битола,37.65 EUR,1100,1100,1100,1100,1,110000,100,1
Интерпромет Тетово,51.13 EUR,1500,1500,1500,1500,7,1393500,929,4
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1600,1600,1600,1600,1,40000,25,1
Лотарија на Македонија Скопје,51.03 EUR,250,200,250,200,2,45000,200,2
Пелистерка АД Скопје,51.00 EUR,2400,2400,2400,2400,1,120000,50,1
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,4,420000,70,3
ОКТА Скопје,51.12 EUR,4800,4510,4600,4600,26,2082030,450,7
Пекабеско Скопје,46.00 EUR,12441,12069,12069,12441,2,564846,46,2
Попова Кула Демир Капија,61.50 MKD,21,21,21,21,1,26250,1250,1
Прилепска Пиварница Прилеп,125.00 EUR,39500,39000,39500,39100,8,1964080,50,5
РЖ Техничка контрола Скопје,5.11 EUR,660,577,577,660,6,259390,410,4
Славеј Скопје,50.00 EUR,3200,3200,3200,3200,1,32000,10,1
Стопанска банка Скопје,201.10 MKD,1175,1130,1150,1160,73,9799886,8523,18
Македонски Телеком Скопје,100.00 MKD,312,300,301,312,24,1340363,4365,10
НЛБ Банка АД Скопје,1000.00 MKD,16650,16360,16500,16450,115,39155052,2366,19
Универзална Инвестициона Банка Скопје,1000.00 MKD,2350,2250,2296,2300,12,1540936,660,7
Цементарница УСЈЕ Скопје,3100.00 MKD,25100,25100,25100,25100,1,175700,7,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,789,789,789,789,2,157800,200,1
Вкупно Официјален пазар,,,,,,1438,360596836,517545,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Металец Битола,51.13 EUR,1263,1263,1263,1263,1,20208,16,1
Инвестброкер Скопје,107.84 EUR,,,,4000,1,0,0,1
Квасара Битола,51.13 EUR,14100,14100,14100,14100,1,211500,15,1
