МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2019 ДО 31.05.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5500,5250,5250,5301,235,47684410,8800,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,9185,8400,8400,9101,220,55050856,6172,20
Бетон Скопје,255.65 EUR,9972,8730,8730,9400,20,1358129,145,10
Фершпед Скопје,37400.00 MKD,80001,78000,78000,78200,13,1811403,23,5
Гранит Скопје,5.00 EUR,929,831,840,895,235,48209884,55365,19
Макошпед Скопје,1000.00 MKD,235,194,194,227,14,909611,4147,7
Хотели Метропол Охрид,5.00 EUR,377,377,377,377,1,122148,324,1
Макпетрол Скопје,511.29 EUR,65200,52005,52550,63000,357,74072572,1228,21
Македонијатурист Скопје,25.56 EUR,5455,5225,5250,5250,61,11489690,2150,14
Охридска банка АД Скопје,2650.00 MKD,6150,6050,6050,6137,49,16984602,2796,12
Реплек Скопје,562.42 EUR,73050,73000,73000,73020,8,1752624,24,4
РЖ Институт Скопје,5.11 EUR,101,101,101,101,2,1818,18,2
РЖ Интер-Трансшпед Скопје,5.11 EUR,20,20,20,20,1,260,13,1
РЖ Услуги Скопје,5.11 EUR,96,89,89,94,14,256744,2719,6
Стопанска банка Битола,3000.00 MKD,2400,2200,2260,2400,19,1270711,563,10
Скопски Пазар Скопје,51.13 EUR,18542,18540,,18542,5,463542,25,3
Макстил Скопје,5.11 EUR,121,115,115,116,26,1429554,12112,10
Тетекс Тетово,50.40 EUR,2477,2321,2321,2432,16,1918759,797,6
Винарска визба Тиквеш Скопје,51.13 EUR,5665,5300,5300,5665,11,1857790,341,6
ТТК Банка АД Скопје,1000.00 MKD,1330,1260,1260,1300,27,3004477,2303,10
Витаминка Прилеп,52.78 EUR,10700,10700,10700,10700,1,53500,5,1
Жито Лукс Скопје,35.79 EUR,245,245,245,245,1,49980,204,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 12,1.00 EUR,99,98,98,99,4,1001846.79,16479,2
Р. Македонија - денационализација 13,1.00 EUR,99,97,97,99,2,235311.85,3874,2
Р. Македонија - денационализација 14,1.00 EUR,98.6,97.5,97.5,98.6,5,2553419.73,42350,2
Р. Македонија - денационализација 15,1.00 EUR,98.7,98,98,98.7,3,280163.48,4617,2
Р. Македонија - денационализација 16,1.00 EUR,98.7,98,98,98.5,12,5613059.48,92662,8
Р. Македонија - денационализација 17,1.00 EUR,98.3,97,98,98.3,11,2532719.93,42171,5
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,700,700,700,700,2,619500,885,1
Агромеханика Скопје,57.45 EUR,615,500,615,500,3,140500,235,3
Благој Ѓорев Велес,25.56 EUR,214,214,214,214,1,117914,551,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,800,781,800,781,2,154976,196,1
Централна кооперативна банка Скопје,41.21 EUR,700,700,700,700,4,1491700,2131,3
Факом Скопје,51.13 EUR,7200,6300,6300,7200,2,141300,21,2
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,8,1429200,1191,3
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1598,1582,1582,1598,2,95400,60,2
Карпош Скопје,17.04 EUR,850,850,850,850,1,4250,5,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,1,23673,39,1
Оилко КДА Скопје,6000.00 MKD,,,,6000,1,0,0,1
ОКТА Скопје,51.12 EUR,5500,4200,4201,4802,41,4135009,862,15
"Пекабеско АД Кадино, Илинден",46.00 EUR,14800,10000,14800,10000,13,2299680,203,3
Попова Кула Демир Капија,61.50 MKD,24,24,24,24,2,12000,500,1
Прилепска Пиварница Прилеп,125.00 EUR,43500,41219,43500,41219,9,2500351,59,3
РЖ Економика Скопје,10.00 DEM,30,30,30,30,1,360,12,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,22,19,19,22,9,58816,2770,6
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,82,75,75,82,13,313632,3876,5
РЖ Техничка контрола Скопје,5.11 EUR,600,600,600,600,1,3000,5,1
РЖ Уготур Скопје,1.05 EUR,12,12,12,12,1,156,13,1
Стопанска банка Скопје,201.10 MKD,1086,978,1030,1000,220,40651896,40366,21
Македонски Телеком Скопје,100.00 MKD,314,296,300,296,35,3558294,11787,15
НЛБ Банка АД Скопје,1000.00 MKD,17250,16250,16400,16850,265,81333765,4851,21
Транскоп-Патнички сооб. Битола,51.13 EUR,1800,1800,1800,1800,1,68400,38,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,2300,2207,2280,2210,31,3624513,1609,10
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,949,899,900,949,10,499670,545,5
Вкупно Официјален пазар,,,,,,2052,425247540.26,375237,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Текстил Елма Прилеп,51.00 EUR,615,615,615,615,1,11070,18,1
ФАВОРИТ ВМ АД Штип,5.11 EUR,1230,1230,1230,1230,1,12300,10,1
Фротирка компани АД Делчево,51.13 EUR,120,120,120,120,4,300720,2506,1
Инекс Дрим Струга,51.13 EUR,257,257,257,257,4,3809768,14824,2
Квасара Битола,51.13 EUR,16000,16000,16000,16000,2,112000,7,2
Македонска Берза,607.10 EUR,50000,50000,50000,50000,1,50000,1,1
Премиум груп АД Скопје,1.00 EUR,120,120,120,120,1,266400,2220,1
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,960000,600,1
Солун 2001 Гевгелија,5.00 EUR,311,198,198,311,3,3612,14,3
Вкупно Редовен пазар,,,,,,18,5525870,20200,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на акции,,,,,,,,,
Црвени брегови Неготино - јавна понуда на II-ра емисија на обични акци,51.13 EUR,3145,3145,3145,3145,1,176676665,56177,1
Вардар Градско - јавна понуда на II-ра емисија на обични акци,5.11 EUR,315,315,315,315,2,398608245,1265423,1
Вкупно Јавна понуда на хв,,,,,,3,575284910,1321600,
Вкупно сите пазари ,,,,,,2073,1006058320.26,1717037,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5460,,1638000,300,
Комерцијална банка Скопје,,,,,5460,,1638000,300,
Комерцијална банка Скопје,,,,,5460,,5339880,978,
Комерцијална банка Скопје,,,,,5395,,1003470,186,
Комерцијална банка Скопје,,,,,5360,,1072000,200,
Берзанска котација - обични акции,,,,,,,,,
Макпетрол Скопје,,,,,58500,,9067500,155,
Скопски Пазар Скопје,,,,,18000,,2034000,113,
Задолжителна котација - обични акции,,,,,,,,,
Оилко КДА Скопје,,,,,4800,,16512000,3440,
ОКТА Скопје,,,,,4950,,4455000,900,
НЛБ Банка АД Скопје,,,,,17500,,51940000,2968,
НЛБ Банка АД Скопје,,,,,17000,,1241000,73,
НЛБ Банка АД Скопје,,,,,17000,,1989000,117,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Квасара Битола,,,,,16000,,1520000,95,
