МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2020 ДО 30.04.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6897,5700,5848,6360,1137,330747007,53073,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12950,9414,9700,12500,437,121271305,10751,20
Бетон Скопје,255.65 EUR,6777,5812,5812,6777,10,645543,105,4
Гранит Скопје,5.00 EUR,1035,774,800,1007,241,38983981,41953,20
Макошпед Скопје,1000.00 MKD,200,200,200,200,1,40000,200,1
Макпетрол Скопје,511.29 EUR,72501,46300,47431,70005,289,58694166,1007,18
Македонијатурист Скопје,25.56 EUR,5000,4400,4400,5000,36,5949029,1233,12
Охридска банка АД Скопје,2650.00 MKD,4429,4300,4300,4429,6,657900,150,2
Реплек Скопје,562.42 EUR,83000,80510,83000,80510,6,1235040,15,3
РЖ Услуги Скопје,5.11 EUR,60,54,59,55,19,618355,10787,7
Стопанска банка Битола,3000.00 MKD,3025,2153,2231,3025,34,3293033,1329,13
Макстил Скопје,5.11 EUR,84,80,81,84,5,146666,1826,5
Тетекс Тетово,50.40 EUR,1796,1262,1796,1601,43,2987188,2059,10
ВВ Тиквеш АД Кавадарци,51.13 EUR,4950,4734,4886,4734,11,1723002,356,8
ТТК Банка АД Скопје,1000.00 MKD,1400,1100,1100,1350,65,8644381,6516,14
Жито Лукс Скопје,35.79 EUR,195,195,195,195,1,42315,217,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,1221561,20000,1
Р. Македонија - денационализација 18,1.00 EUR,98.7,98.7,98.7,98.7,1,516737.7,8486,1
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,44.48 EUR,2400,2400,2400,2400,1,16800,7,1
Фустеларко Борец Битола,37.65 EUR,1080,1080,1080,1080,1,152280,141,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1400,1400,1400,1400,1,282800,202,1
Мермерен комбинат Прилеп,1.00 EUR,2500,2500,2500,2500,1,15000,6,1
ОКТА Скопје,51.12 EUR,4200,2930,2950,4150,46,4010513,1180,12
Пекабеско Скопје,46.00 EUR,12000,11486,11486,12000,3,495954,43,3
Прилепска Пиварница Прилеп,125.00 EUR,34500,31100,34500,31100,4,1439300,43,2
РЖ Уготур Скопје,1.05 EUR,19,19,19,19,2,9956,524,1
Сигурносно стакло Прилеп,51.20 EUR,360,360,360,360,1,32400,90,1
Стопанска банка Скопје,201.10 MKD,1130,914,914,1115,77,7995372,7733,16
Македонски Телеком Скопје,100.00 MKD,313,275,275,310,21,1105210,3735,10
НЛБ Банка АД Скопје,1000.00 MKD,17357,13950,13999,16450,150,49314228,3224,19
Универзална Инвестициона Банка Скопје,1000.00 MKD,1950,1800,1885,1950,32,4352226,2345,11
Цементарница УСЈЕ Скопје,3100.00 MKD,26500,23500,23500,26500,5,2168700,85,4
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,650,650,650,650,2,78000,120,1
Вкупно Официјален пазар,,,,,,2690,648885948.7,179541,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
ФК Беласица АД Струмица,10.00 EUR,76,76,76,76,1,14440,190,1
Квасара Битола,51.13 EUR,16000,16000,16000,16000,1,80000,5,1
ЗУМ АД Скопје,314.00 MKD,1000,1000,1000,1000,2,3011000,3011,1
Вкупно Редовен пазар,,,,,,4,3105440,3206,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на акции,,,,,,,,,
Агролпод АД Ресен - јавна понуда на II-ра емисија на обични акции,220.00 EUR,13530,13530,13530,13530,1,73806150,5455,1
Вкупно Јавна понуда на хв,,,,,,1,73806150,5455,
Вкупно сите пазари ,,,,,,2695,725797538.7,188202,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,10868,,10868000,1000,
Алкалоид Скопје,,,,,11555,,2877195,249,
Алкалоид Скопје,,,,,10934,,2296140,210,
Алкалоид Скопје,,,,,10771,,2154200,200,
Макпетрол Скопје,,,,,45092,,3291716,73,
Македонијатурист Скопје,,,,,5030,,2686020,534,
ТТК Банка АД Скопје,,,,,1100,,5500000,5000,
