МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.08.2020 ДО 31.08.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6301,6180,6283,6299,263,64949201,10422,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12600,12198,12470,12200,196,44446230,3619,18
Бетон Скопје,255.65 EUR,6100,6100,6100,6100,1,146400,24,1
Фершпед Скопје,37400.00 MKD,61000,61000,61000,61000,2,427000,7,2
Гранит Скопје,5.00 EUR,975,945,963,975,61,13005735,13476,12
Макошпед Скопје,1000.00 MKD,200,191,200,191,2,97300,500,2
Хотели Метропол Охрид,5.00 EUR,300,300,300,300,1,30000,100,1
Макпетрол Скопје,511.29 EUR,66000,61500,65999,62500,88,19880345,312,10
Македонијатурист Скопје,25.56 EUR,4300,4000,4300,4000,9,1337252,315,5
Охридска банка АД Скопје,2650.00 MKD,4650,4650,4650,4650,1,46500,10,1
Реплек Скопје,562.42 EUR,85000,83999,83999,85000,11,4654990,55,2
РЖ Услуги Скопје,5.11 EUR,56,55,55,56,4,80535,1446,1
Стопанска банка Битола,3000.00 MKD,2707,2410,2551,2551,10,660819,252,8
Скопски Пазар Скопје,51.13 EUR,,,,18999,1,0,0,1
Макстил Скопје,5.11 EUR,76,67,76,67,6,100650,1482,4
Тетекс Тетово,50.40 EUR,1644,1582,1582,1644,2,70072,43,2
ВВ Тиквеш АД Кавадарци,51.13 EUR,4400,4400,4400,4400,1,88000,20,1
ТТК Банка АД Скопје,1000.00 MKD,1300,1280,1300,1280,19,3175740,2479,4
Жито Лукс Скопје,35.79 EUR,167,167,167,167,1,41416,248,1
ЗК Пелагонија Битола,70.21 EUR,2400,2270,2270,2400,3,275970,121,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 12,1.00 EUR,99.5,99.5,99.5,99.5,1,1531588.83,24950,1
Р. Македонија - денационализација 13,1.00 EUR,99,99,99,99,1,22598.92,370,1
Р. Македонија - денационализација 17,1.00 EUR,99,99,99,99,3,704230.06,11530,3
Р. Македонија - денационализација 18,1.00 EUR,99,99,99,99,6,3116282.31,51021,3
ТТК банка АД Скопје - корпоративна обврзница I емисија,1000.00 EUR,100,100,100,100,2,6169500,100,1
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,618,618,618,618,2,1483200,2400,1
Аутомакедонија Скопје,44.48 EUR,2202,2004,2004,2100,5,1240728,569,4
Интерпромет Тетово,51.13 EUR,1500,1500,1500,1500,1,120000,80,1
Карпош Скопје,17.04 EUR,,,,441,1,0,0,1
Мода Свети Николе,1.00 EUR,100,100,100,100,1,15000,150,1
ОКТА Скопје,51.12 EUR,3153,3153,3153,3153,1,40989,13,1
Прилепска Пиварница Прилеп,125.00 EUR,32445,32445,32445,32445,3,324450,10,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,15,15,15,15,1,4500,300,1
Либерти АД Скопје,5.11 EUR,38,38,38,38,1,11400,300,1
Сковин Скопје,310.00 MKD,20,20,20,20,2,11020,551,2
Стопанска банка Скопје,201.10 MKD,1148,1055,1071,1100,50,6049366,5555,11
Македонски Телеком Скопје,100.00 MKD,326,310,318,310,4,241601,775,4
НЛБ Банка АД Скопје,1000.00 MKD,17400,16100,17400,16900,40,19610280,1184,10
Универзална Инвестициона Банка Скопје,1000.00 MKD,2449,2200,2200,2400,15,1052820,458,5
Цементарница УСЈЕ Скопје,3100.00 MKD,24500,24500,24500,24500,4,808500,33,1
Жито Караорман Кичево,256.00 EUR,970,970,970,970,1,525740,542,1
Жито Полог Тетово,51.13 EUR,1800,1800,1800,1800,2,4590000,2550,2
Вкупно Официјален пазар,,,,,,829,201187949.12,138372,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Квасара Битола,51.13 EUR,15520,14500,15520,14607,7,909859,61,5
Млекара Тетово,5.00 EUR,250,250,250,250,2,502500,2010,1
Мокел-ЕЕИИ АД Битола,51.13 EUR,1700,1700,,1700,18,124100,73,2
Наше осигурување АД Кочани,50.00 EUR,3075,3075,3075,3075,4,1057800,344,1
Пелагонија Комерц АД Битола,51.13 EUR,500,500,500,500,2,1000,2,1
УСА-МАК компјутерс АД Скопје,650.00 EUR,,,,,1,0,0,1
Вардар АД с. Брвеница,10.00 DEM,10,10,10,10,2,6100,610,1
Вкупно Редовен пазар,,,,,,36,2601359,3100,
Вкупно сите пазари ,,,,,,865,203789308.12,141472,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,6169.61,,108165602.52,17532,
Задолжителна котација - обични акции,,,,,,,,,
Карпош Скопје,,,,,387.28,,9559232.24,24683,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Мокел-ЕЕИИ АД Битола,,,,,1751,,2622998,1498,
УСА-МАК компјутерс АД Скопје,,,,,400000,,2400000,6,
