МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.12.2020 ДО 30.12.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,7300,6900,7010,7299,512,161575192,22703,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,13499,12311,12311,13200,228,48986332,3854,21
Бетон Скопје,255.65 EUR,6440,6051,6440,6051,6,647783,102,5
Фершпед Скопје,37400.00 MKD,61000,61000,61000,61000,4,2501000,41,3
Гранит Скопје,5.00 EUR,1119,1030,1031,1119,99,17320473,16135,21
ДС Смитх АД Скопје,25.56 EUR,480,480,480,480,1,48000,100,1
Макошпед Скопје,1000.00 MKD,,,,191,1,0,0,1
Хотели Метропол Охрид,5.00 EUR,250,250,250,250,2,115000,460,2
Макпетрол Скопје,511.29 EUR,74000,67000,68500,73000,193,68144284,993,15
Македонијатурист Скопје,25.56 EUR,4200,3784,3900,4200,17,2483078,632,5
Охридска банка АД Скопје,2650.00 MKD,4500,4482,4500,4482,5,624780,139,3
Реплек Скопје,562.42 EUR,104000,99778,99778,104000,6,1931778,19,4
РЖ Услуги Скопје,5.11 EUR,52,52,52,52,3,81120,1560,3
Стопанска банка Битола,3000.00 MKD,2890,2750,2750,2890,27,5329860,1862,9
Макстил Скопје,5.11 EUR,69,63,67,66,17,794075,12153,8
Тетекс Тетово,50.40 EUR,1950,1944,1944,1950,8,405250,208,4
ТТК Банка АД Скопје,1000.00 MKD,1355,1300,1300,1355,13,861390,659,8
Витаминка Прилеп,52.78 EUR,13540,13135,,13135,10,2123120,158,5
Жито Лукс Скопје,35.79 EUR,155,155,155,155,2,31000,200,1
ЗК Пелагонија Битола,70.21 EUR,3004,2650,2650,3000,25,12752341,4294,10
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - државна обврзница DO2020/15-1235dk,10000.00 MKD,100,100,100,100,31,28000000,2800,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,2,32126.96,526,1
Р. Македонија - денационализација 16,1.00 EUR,99,99,99,99,1,26080.16,427,1
Р. Македонија - денационализација 17,1.00 EUR,99.5,99.5,99.5,99.5,1,2720891.92,44324,1
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,679,679,679,679,1,16975,25,1
БИМ Свети Николе,100.00 EUR,12300,12300,12300,12300,2,762600,62,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,3,2106800,5267,1
Европа Скопје,51.13 EUR,3301,3090,3090,3301,3,316478,100,3
ОКТА Скопје,51.12 EUR,3400,3230,3300,3399,19,1091594,330,8
Прилепска Пиварница Прилеп,125.00 EUR,33000,33000,33000,33000,2,330000,10,2
Раде Кончар Скопје,20.00 EUR,1900,1900,1900,1900,1,13300,7,1
Стопанска банка Скопје,201.10 MKD,1145,1076,1130,1144,44,3769798,3382,18
Македонски Телеком Скопје,100.00 MKD,314,303,307,314,22,1868139,6050,12
НЛБ Банка АД Скопје,1000.00 MKD,18410,17200,17200,18410,86,19021996,1046,19
Универзална Инвестициона Банка Скопје,1000.00 MKD,2451,2350,2451,2400,25,10092565,4225,9
Цементарница УСЈЕ Скопје,3100.00 MKD,29501,26001,29355,26001,3,527226,18,3
Жито Полог Тетово,51.13 EUR,2317,2250,2250,2317,3,469011,203,2
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,550,550,550,550,1,37950,69,1
Вкупно Официјален пазар,,,,,,1429,397959387.04,135143,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еленица АД Струмица,51.13 EUR,,,,3150,1,0,0,1
МЗТ Енергетика АД Скопје,100.00 DEM,,,,3200,1,0,0,1
ФК Работнички АД Скопје,100.00 EUR,6334,6334,6334,6334,2,779082,123,1
ФК Шкупи 1927 АД Скопје,100.00 EUR,6170,6170,6170,6170,2,1542500,250,1
Киро Дандаро Битола,5.11 EUR,,,,1019,1,0,0,1
Златара Рубин Скопје,51.13 EUR,6150,6150,6150,6150,1,338250,55,1
Вкупно Редовен пазар,,,,,,8,2659832,428,
Вкупно сите пазари ,,,,,,1437,400619219.04,135571,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,6900,,2097600,304,
Комерцијална банка Скопје,,,,,6980,,2094000,300,
Комерцијална банка Скопје,,,,,7030,,3163500,450,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,12600,,14729400,1169,
Гранит Скопје,,,,,1040,,28175680,27092,
Макошпед Скопје,,,,,196,,5680668,28983,
Витаминка Прилеп,,,,,13950,,2232000,160,
Витаминка Прилеп,,,,,13960,,2010240,144,
ЗК Пелагонија Битола,,,,,3000,,5247000,1749,
ЗК Пелагонија Битола,,,,,3000,,6351000,2117,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,18700,,2543200,136,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еленица АД Струмица,,,,,203,,5074797,24999,
МЗТ Енергетика АД Скопје,,,,,3156,,6548700,2075,
Киро Дандаро Битола,,,,,863.66,,10363920,12000,
