МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2020 ДО 31.01.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,7702,6598,6598,7400,458,153447999,21178,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,13353,11898,11898,12900,285,77639234,6005,20
Бетон Скопје,255.65 EUR,7600,7300,7519,7300,13,1240757,166,5
Фершпед Скопје,37400.00 MKD,74500,73000,74500,74000,8,2215130,30,5
Гранит Скопје,5.00 EUR,1250,1115,1134,1200,294,61773099,51181,20
Макошпед Скопје,1000.00 MKD,238,238,238,238,2,47600,200,1
Хотели Метропол Охрид,5.00 EUR,300,299,300,300,17,1136665,3790,8
Макпетрол Скопје,511.29 EUR,82000,76501,77000,79000,168,43247142,547,19
Македонијатурист Скопје,25.56 EUR,5734,5421,5421,5700,23,5839266,1039,11
Охридска банка АД Скопје,2650.00 MKD,5200,5193,5200,5200,23,7456279,1434,7
Реплек Скопје,562.42 EUR,79000,79000,79000,79000,1,158000,2,1
РЖ Услуги Скопје,5.11 EUR,70,68,70,68,6,308268,4494,4
Стопанска банка Битола,3000.00 MKD,3250,3000,3150,3190,38,6201495,1953,9
Макстил Скопје,5.11 EUR,105,94,94,103,26,954581,9599,7
Тетекс Тетово,50.40 EUR,2500,2300,2300,2478,36,5318641,2224,11
ВВ Тиквеш АД Кавадарци,51.13 EUR,5720,5720,5720,5720,2,1395680,244,1
ТТК Банка АД Скопје,1000.00 MKD,1750,1540,1550,1680,47,9598492,5968,14
Витаминка Прилеп,52.78 EUR,14000,13404,13404,14000,4,1145300,85,2
Жито Лукс Скопје,35.79 EUR,195,190,190,195,4,58000,300,2
ЗК Пелагонија Битола,70.21 EUR,2539,1764,1764,2539,6,275114,131,4
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,9476,9476,9476,9476,1,710700,75,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 15,1.00 EUR,99.5,98.5,98.5,99.5,3,622824.21,10218,2
Р. Македонија - денационализација 18,1.00 EUR,98.8,98.7,98.7,98.8,25,8136939.39,133673,11
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,44.48 EUR,2398,2200,2398,2200,2,380160,171,2
Благој Ѓорев Велес,25.56 EUR,188,188,188,188,1,188000,1000,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,567,567,567,567,2,21546,38,2
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1651,1651,1651,1651,2,356616,216,1
ОКТА Скопје,51.12 EUR,4800,4658,4700,4700,10,1111102,234,7
Пекабеско Скопје,46.00 EUR,12000,11574,11931,12000,5,381180,32,4
Прилепска Пиварница Прилеп,125.00 EUR,41000,39770,41000,41000,4,1309540,32,3
РЖ Техничка контрола Скопје,5.11 EUR,700,690,700,690,5,468590,679,2
Современ дом Прилеп,5.11 EUR,30,30,30,30,1,3000,100,1
Стопанска банка Скопје,201.10 MKD,1250,1180,1200,1220,93,14406516,11905,16
Тајмиште Кичево,51.13 EUR,1550,1550,1550,1550,1,1909600,1232,1
Технокомерц Скопје,51.13 EUR,1000,1000,1000,1000,1,72000,72,1
Македонски Телеком Скопје,100.00 MKD,328,316,320,317,20,1331055,4151,10
НЛБ Банка АД Скопје,1000.00 MKD,18300,17148,17200,18300,137,82163894,4637,19
Транскоп-Патнички сооб. Битола,51.13 EUR,1800,1800,1800,1800,3,320400,178,2
Универзална Инвестициона Банка Скопје,1000.00 MKD,2570,2320,2390,2450,12,1265480,524,6
Цементарница УСЈЕ Скопје,3100.00 MKD,24215,24214,24214,24215,3,290576,12,2
Жито Полог Тетово,51.13 EUR,1800,1800,1800,1800,8,471600,262,5
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,657,655,656,656,7,99058,151,7
Вкупно Официјален пазар,,,,,,1807,495477118.6,280162,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Бутел Скопје,50.00 EUR,3075,3075,3075,3075,2,2152500,700,1
Квасара Битола,51.13 EUR,17000,17000,17000,17000,2,867000,51,1
Пелагонија Струмица,25.56 EUR,615,615,615,615,1,127305,207,1
Вкупно Редовен пазар,,,,,,5,3146805,958,
Вкупно сите пазари ,,,,,,1812,498623923.6,281120,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,7400,,51800000,7000,
Комерцијална банка Скопје,,,,,7300,,2190000,300,
Берзанска котација - обични акции,,,,,,,,,
Тетекс Тетово,,,,,2250,,9000000,4000,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,17200,,2064000,120,
НЛБ Банка АД Скопје,,,,,17220,,2583000,150,
Жито Полог Тетово,,,,,1800,,3375000,1875,
Жито Полог Тетово,,,,,1800,,3285000,1825,
Жито Полог Тетово,,,,,1800,,9000000,5000,
