МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2020 ДО 31.07.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6299,5800,5800,6287,594,168026879,27590,22
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12799,11850,11900,12500,185,45842268,3766,21
Бетон Скопје,255.65 EUR,6268,5700,5700,6100,13,876775,144,6
Фершпед Скопје,37400.00 MKD,60900,59500,59500,60000,3,239900,4,3
Гранит Скопје,5.00 EUR,980,930,930,962,86,40723241,42585,21
Макошпед Скопје,1000.00 MKD,,,,200,2,0,0,2
Макпетрол Скопје,511.29 EUR,66999,64001,64001,66000,71,16816585,257,11
Македонијатурист Скопје,25.56 EUR,4400,4400,4400,4400,3,198000,45,2
Охридска банка АД Скопје,2650.00 MKD,4600,4501,4501,4600,2,86509,19,2
Реплек Скопје,562.42 EUR,83000,83000,83000,83000,5,830000,10,3
РЖ Институт Скопје,5.11 EUR,46,46,46,46,1,13708,298,1
РЖ Услуги Скопје,5.11 EUR,51,50,50,51,7,129946,2598,3
Стопанска банка Битола,3000.00 MKD,2729,2401,2600,2601,24,5918664,2257,10
Макстил Скопје,5.11 EUR,78,70,77,70,11,458654,5950,8
Тетекс Тетово,50.40 EUR,1566,1427,1427,1566,2,136325,93,2
Тутунски комбинат Прилеп,51.13 EUR,250,155,250,155,3,178770,1032,2
ВВ Тиквеш АД Кавадарци,51.13 EUR,4462,4333,4333,4400,4,422360,96,4
ТТК Банка АД Скопје,1000.00 MKD,1300,1282,,1300,23,2925532,2252,9
ЗК Пелагонија Битола,70.21 EUR,2270,2270,2270,2270,2,90800,40,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 16,1.00 EUR,99,99,99,99,4,107314.14,1757,4
Р. Македонија - денационализација 17,1.00 EUR,99,99,99,99,2,189221.07,3098,2
Р. Македонија - денационализација 18,1.00 EUR,99,99,99,99,1,45136.68,739,1
ТТК банка АД Скопје - корпоративна обврзница I емисија,1000.00 EUR,100,100,100,100,2,3084750,50,1
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,618,618,618,618,4,278100,450,3
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1261,1261,1261,1261,1,18915,15,1
Карпош Скопје,17.04 EUR,540,321,321,441,7,385827,797,5
Огражден Струмица,50.00 EUR,1860,1550,1550,1860,6,961620,571,2
ОКТА Скопје,51.12 EUR,3250,3120,3250,3250,24,1827753,574,12
Пекабеско Скопје,46.00 EUR,14399,14000,14399,14000,4,226394,16,3
Попова Кула Демир Капија,61.50 MKD,16,16,16,16,1,8000,500,1
Прилепска Пиварница Прилеп,125.00 EUR,32445,32445,32445,32445,3,13562010,418,1
Раде Кончар Скопје,20.00 EUR,,,,1801,1,0,0,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,12,12,12,12,1,5760,480,1
РЖ Уготур Скопје,1.05 EUR,28,28,,28,5,700700,25025,3
Сковин Скопје,310.00 MKD,5,5,5,5,4,82000,16400,2
Стопанска банка Скопје,201.10 MKD,1093,1050,1050,1073,68,14346013,13400,13
Македонски Телеком Скопје,100.00 MKD,329,309,318,309,15,2315700,7257,8
НЛБ Банка АД Скопје,1000.00 MKD,17700,16013,16015,17350,45,12180006,725,13
Универзална Инвестициона Банка Скопје,1000.00 MKD,2399,2150,2150,2399,30,2978345,1361,8
Жито Полог Тетово,51.13 EUR,1800,1800,1800,1800,36,10407600,5782,5
Вкупно Официјален пазар,,,,,,1305,347626080.89,168451,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Галеб АД Охрид,50.00 EUR,,,,600,1,0,0,1
Квасара Битола,51.13 EUR,16000,16000,16000,16000,1,64000,4,1
Лајф визион АД Скопје,10.00 EUR,454,454,454,454,2,340500,750,1
ВФП АД Скопје,10.00 EUR,4595,4595,4595,4595,1,114875,25,1
ВИН брокер АД Скопје,100.00 EUR,500,500,500,500,5,125000,250,1
Вардар АД с. Брвеница,10.00 DEM,10,10,10,10,3,5590,559,2
ЗК Кичево АД Кичево,100.00 DEM,546,546,546,546,1,20748,38,1
Вкупно Редовен пазар,,,,,,14,670713,1626,
Вкупно сите пазари ,,,,,,1319,348296793.89,170077,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Макошпед Скопје,,,,,150,,5700000,38000,
Макошпед Скопје,,,,,150,,5794500,38630,
ТТК Банка АД Скопје,,,,,1135,,3949800,3480,
ТТК Банка АД Скопје,,,,,1285,,4475655,3483,
Задолжителна котација - обични акции,,,,,,,,,
Раде Кончар Скопје,,,,,1440,,7428960,5159,
РЖ Уготур Скопје,,,,,24,,2016000,84000,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Галеб АД Охрид,,,,,2910,,5008110,1721,
