МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2020 ДО 30.06.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5950,5500,5950,5820,559,105956270,18472,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12299,11400,12250,11999,246,55574844,4737,19
Бетон Скопје,255.65 EUR,6200,6120,6180,6200,3,185460,30,3
Фершпед Скопје,37400.00 MKD,59500,59500,59500,59500,1,119000,2,1
Гранит Скопје,5.00 EUR,975,915,971,933,148,21393696,22425,19
ДС Смитх АД Скопје,25.56 EUR,399,399,399,399,1,55860,140,1
Макпетрол Скопје,511.29 EUR,68000,63001,68000,65000,132,36936945,568,16
Македонијатурист Скопје,25.56 EUR,4480,4350,4450,4480,9,613300,140,4
Охридска банка АД Скопје,2650.00 MKD,4550,4501,4550,4501,4,683620,151,2
Реплек Скопје,562.42 EUR,82000,81999,82000,82000,6,1393999,17,2
РЖ Услуги Скопје,5.11 EUR,51,50,50,50,14,479200,9576,6
Стопанска банка Битола,3000.00 MKD,2698,2500,2683,2600,7,553220,212,4
Скопски Пазар Скопје,51.13 EUR,,,,18999,1,0,0,1
Макстил Скопје,5.11 EUR,84,68,69,77,26,812568,10905,9
Тетекс Тетово,50.40 EUR,1425,1424,1425,1424,3,58401,41,1
ТТК Банка АД Скопје,1000.00 MKD,1215,1160,1215,1210,15,1222384,1038,5
ЗК Пелагонија Битола,70.21 EUR,2610,2302,2610,2500,12,1079510,432,7
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - државна обврзница DO2018/27-1133dk,10000.00 MKD,106.8,106.8,106.8,106.8,31,29904000,2800,1
Р. Македонија - државна обврзница DO2019/14-1049dk,10000.00 MKD,103.5,103.5,103.5,103.5,33,31050000,3000,1
Р. Македонија - денационализација 10,1.00 EUR,99,99,99,99,1,43731.88,716,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,55582.56,910,1
Р. Македонија - денационализација 18,1.00 EUR,99,98.5,98.7,99,5,572957.45,9413,5
Берзанска котација - други хартии од вредност,,,,,,,,,
Универзална Инвестициона Банка Скопје - перпетуални обврзници,1000.00 EUR,101.5,101.5,101.5,101.5,3,21917752.67,350,1
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,618,600,600,618,5,798000,1300,2
Аутомакедонија Скопје,44.48 EUR,2200,2200,2200,2200,4,4967600,2258,2
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,1,196800,164,1
ОКТА Скопје,51.12 EUR,3900,3290,3850,3300,36,2436579,705,14
Пекабеско Скопје,46.00 EUR,12730,12730,12730,12730,1,63650,5,1
Прилепска Пиварница Прилеп,125.00 EUR,31500,31500,31500,31500,2,220500,7,1
РЖ Уготур Скопје,1.05 EUR,25,24,25,24,3,57647,2315,2
Стопанска банка Скопје,201.10 MKD,1100,1025,1070,1050,93,16738493,15726,11
Македонски Телеком Скопје,100.00 MKD,324,310,315,310,15,843880,2679,8
НЛБ Банка АД Скопје,1000.00 MKD,16700,16000,16300,16000,48,19749336,1230,15
Универзална Инвестициона Банка Скопје,1000.00 MKD,2060,1999,2015,2060,55,17151340,8566,8
Цементарница УСЈЕ Скопје,3100.00 MKD,24501,24500,24501,24500,9,1543510,63,3
Ветекс Велес,51.13 EUR,973,973,973,973,1,788130,810,1
Жито Полог Тетово,51.13 EUR,1800,1800,1800,1800,3,34200,19,2
Вкупно Официјален пазар,,,,,,1537,376251966.56,121922,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Аитоникс АД Скопје,10.00 EUR,300000,300000,300000,300000,1,300000,1,1
Интекс АД Скопје,51.00 EUR,1000,1000,1000,1000,1,1000,1,1
Генерали инвестментс АД Скопје,10.00 EUR,1235,1235,1235,1235,2,1235,1,2
Вардар АД с. Брвеница,10.00 DEM,10,10,10,10,4,7280,728,2
ЗУМ АД Скопје,314.00 MKD,,,,1000,1,0,0,1
Вкупно Редовен пазар,,,,,,9,309515,731,
Вкупно сите пазари ,,,,,,1546,376561481.56,122653,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5850,,2047500,350,
Комерцијална банка Скопје,,,,,5650,,2034000,360,
Комерцијална банка Скопје,,,,,4650,,16633050,3577,
Комерцијална банка Скопје,,,,,5750,,17250000,3000,
Комерцијална банка Скопје,,,,,5900,,2065000,350,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,6600,,10362000,1570,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,16100,,2012500,125,
Жито Полог Тетово,,,,,1800,,4584600,2547,
Жито Полог Тетово,,,,,1800,,4500000,2500,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Генерали инвестментс АД Скопје,,,,,1234,,2714800,2200,
ЗУМ АД Скопје,,,,,560,,5006960,8941,
