МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2020 ДО 29.05.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,6399,5805,6399,5890,400,78821451,13082,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12850,12000,12850,12300,195,43971583,3536,19
Бетон Скопје,255.65 EUR,6800,6200,6700,6800,7,375100,58,4
Фершпед Скопје,37400.00 MKD,59500,55063,55063,59500,2,389878,7,2
Гранит Скопје,5.00 EUR,1020,951,982,975,256,63602290,63349,19
ДС Смитх АД Скопје,25.56 EUR,400,400,400,400,1,64800,162,1
Макошпед Скопје,1000.00 MKD,200,200,200,200,1,38000,190,1
Хотели Метропол Охрид,5.00 EUR,320,320,320,320,2,30720,96,1
Макпетрол Скопје,511.29 EUR,72700,66500,72700,68000,161,48191453,704,17
Македонијатурист Скопје,25.56 EUR,4999,4450,4999,4550,21,4227418,935,10
Охридска банка АД Скопје,2650.00 MKD,4645,4500,4562,4500,8,2581940,564,4
Реплек Скопје,562.42 EUR,82000,80000,82000,80000,10,3240000,40,4
РЖ Услуги Скопје,5.11 EUR,55,55,55,55,3,97625,1775,2
Стопанска банка Битола,3000.00 MKD,3000,2765,3000,2765,13,1801319,623,6
Макстил Скопје,5.11 EUR,76,57,76,66,20,993968,15627,7
Тетекс Тетово,50.40 EUR,1603,1555,1602,1582,13,2032295,1270,4
ТТК Банка АД Скопје,1000.00 MKD,1325,1200,1325,1250,41,3950633,3101,17
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - државна обврзница DO2019/15-1134,10000.00 MKD,100,100,100,100,1,3520000,352,1
Р. Македонија - државна обврзница DO2019/11-0834dk,10000.00 MKD,100,100,100,100,2,7070000,707,1
Р. Македонија - државна обврзница DO2020/02-0235,10000.00 MKD,98.8,98.8,98.8,98.8,1,11055720,1119,1
Р. Македонија - државна обврзница DO2019/04-0234,10000.00 MKD,101,101,101,101,1,101000000,10000,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,86607.55,1418,1
Р. Македонија - денационализација 16,1.00 EUR,98.9,98.9,98.9,98.9,1,24833.33,407,1
Р. Македонија - денационализација 17,1.00 EUR,98,98,98,98,1,305570.4,5054,1
Р. Македонија - денационализација 18,1.00 EUR,98.7,98.7,98.7,98.7,2,248715.41,4085,2
Задолжителна котација - обични акции,,,,,,,,,
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,1,360000,300,1
Герас Цунев конфекција Струмица,15.00 EUR,500,500,500,500,1,395500,791,1
Герас Цунев трговија Струмица,15.00 EUR,500,500,500,500,1,416000,832,1
Лотарија на Македонија Скопје,51.03 EUR,106,106,106,106,1,3498,33,1
Пелистерка АД Скопје,51.00 EUR,2400,2400,2400,2400,1,2400,1,1
ОКТА Скопје,51.12 EUR,4170,3533,4031,3920,35,2272096,580,14
Пекабеско Скопје,46.00 EUR,12360,12360,12360,12360,1,123600,10,1
Прилепска Пиварница Прилеп,125.00 EUR,31000,30000,30000,31000,4,364000,12,2
РЖ Економика Скопје,10.00 DEM,68,68,68,68,2,60928,896,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,13,13,13,13,1,48113,3701,1
Стопанска банка Скопје,201.10 MKD,1184,1080,1145,1184,73,12803604,11521,16
Македонски Телеком Скопје,100.00 MKD,320,300,318,320,34,4719943,14944,14
НЛБ Банка АД Скопје,1000.00 MKD,16750,16100,16450,16100,64,18408002,1126,17
Универзална Инвестициона Банка Скопје,1000.00 MKD,2089,1900,1900,2075,46,9332817,4687,9
Цементарница УСЈЕ Скопје,3100.00 MKD,26795,26401,26401,26795,2,347153,13,2
Вкупно Официјален пазар,,,,,,1431,427379573.69,167708,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Интекс АД Скопје,51.00 EUR,1000,1000,1000,1000,1,1000,1,1
Квасара Битола,51.13 EUR,16000,16000,16000,16000,3,928000,58,3
ЗК Кичево АД Кичево,100.00 DEM,,,,531,1,0,0,1
Вкупно Редовен пазар,,,,,,5,929000,59,
Вкупно сите пазари ,,,,,,1436,428308573.69,167767,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5820,,10120980,1739,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,12500,,10000000,800,
ТТК Банка АД Скопје,,,,,1250,,3910000,3128,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,16400,,16400000,1000,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
ЗК Кичево АД Кичево,,,,,976,,7306336,7486,
