МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.03.2020 ДО 31.03.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,8000,5054,7550,5997,1638,592519151,91728,22
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,13200,8354,12840,9782,900,298091147,28399,22
Бетон Скопје,255.65 EUR,8002,5130,7550,5643,25,1090183,177,14
Фершпед Скопје,37400.00 MKD,74000,53460,73000,53460,27,5983374,94,8
Гранит Скопје,5.00 EUR,1200,696,1100,796,351,65835674,72968,22
Хотели Метропол Охрид,5.00 EUR,321,321,321,321,1,27606,86,1
Макпетрол Скопје,511.29 EUR,78000,43258,74792,49557,522,134220965,2351,22
Македонијатурист Скопје,25.56 EUR,5700,3969,5599,4400,29,10851240,2382,12
Охридска банка АД Скопје,2650.00 MKD,5300,4275,5300,4275,9,1957850,402,5
Реплек Скопје,562.42 EUR,83500,80604,81000,83500,62,23556924,284,8
РЖ Институт Скопје,5.11 EUR,90,90,90,90,3,6300,70,2
РЖ Услуги Скопје,5.11 EUR,65,54,65,54,8,179500,3000,5
Стопанска банка Битола,3000.00 MKD,3296,2100,3000,2300,103,20173248,7140,16
Макстил Скопје,5.11 EUR,92,74,88,74,10,427680,4759,7
Тетекс Тетово,50.40 EUR,2100,1995,2100,1995,3,325710,158,2
ВВ Тиквеш АД Кавадарци,51.13 EUR,5500,4960,5500,4960,38,8065561,1559,6
ТТК Банка АД Скопје,1000.00 MKD,1700,1060,1650,1166,201,40593510,30104,21
Витаминка Прилеп,52.78 EUR,14081,14080,14081,14080,2,168966,12,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - државна обврзница DO2019/12-0934,10000.00 MKD,100,100,100,100,28,24320000,2432,1
Р. Македонија - денационализација 14,1.00 EUR,99.2,99.2,99.2,99.2,2,1110683.73,18148,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,64864.47,1062,1
Р. Македонија - денационализација 16,1.00 EUR,99,99,99,99,9,6584479.1,107804,2
Р. Македонија - денационализација 17,1.00 EUR,99,99,99,99,2,301551.62,4937,1
Р. Македонија - денационализација 18,1.00 EUR,98.7,98.7,98.7,98.7,8,5317356.37,87323,1
Задолжителна котација - обични акции,,,,,,,,,
Благој Ѓорев Велес,25.56 EUR,185,152,185,152,4,309550,1865,4
ФЗЦ 11 Октомври Куманово,51.13 EUR,600,600,600,600,2,66600,111,1
Интерпромет Тетово,51.13 EUR,1500,1500,1500,1500,1,174000,116,1
Мермерен комбинат Прилеп,1.00 EUR,2519,2200,2519,2200,3,255960,105,3
ОКТА Скопје,51.12 EUR,4550,2970,4516,3000,22,2554344,733,12
Пекабеско Скопје,46.00 EUR,12000,10800,12000,11879,9,1242706,108,4
РЖ Економика Скопје,10.00 DEM,48,48,48,48,3,159600,3325,2
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,13,13,13,13,1,3952,304,1
РЖ Уготур Скопје,1.05 EUR,17,17,17,17,2,9469,557,2
Стопанска банка Скопје,201.10 MKD,1260,830,1223,914,131,20676821,21563,22
Македонски Телеком Скопје,100.00 MKD,321,261,320,270,92,11808879,40630,17
ГД-Тиквеш Кавадарци,51.13 EUR,157,157,157,157,1,43960,280,1
НЛБ Банка АД Скопје,1000.00 MKD,19000,12203,18200,13878,454,161494391,9862,22
Универзална Инвестициона Банка Скопје,1000.00 MKD,2300,1550,2200,1959,95,22895904,11474,17
Цементарница УСЈЕ Скопје,3100.00 MKD,23599,23150,23599,23150,17,5928330,253,6
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,655,590,655,590,2,17040,28,2
Вкупно Официјален пазар,,,,,,4821,1469415030.29,558693,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еуролинк осигурување АД Скопје,1000.00 EUR,,,,,1,0,0,1
Југотутун Скопје,51.12 EUR,3100,3100,3100,3100,1,9300,3,1
Осигурително брокерско друштво Кораб ИНС АД Скопје,1000.00 MKD,,,,1000,1,0,0,1
Лихнида Охрид,10.22 EUR,615,615,615,615,1,9225,15,1
Челичен лив и гранулат Железник Д. Хисар,51.10 EUR,115,115,115,115,1,1380,12,1
ЗУМ АД Скопје,314.00 MKD,1000,1000,1000,1000,2,15000000,15000,1
Вкупно Редовен пазар,,,,,,7,15019905,15030,
Вкупно сите пазари ,,,,,,4828,1484434935.29,573723,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5141,,5192410,1010,
Комерцијална банка Скопје,,,,,7900,,44516500,5635,
Комерцијална банка Скопје,,,,,7900,,17459000,2210,
Комерцијална банка Скопје,,,,,7900,,7900000,1000,
Комерцијална банка Скопје,,,,,7900,,9890800,1252,
Комерцијална банка Скопје,,,,,7900,,3539200,448,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,10981,,3623730,330,
Алкалоид Скопје,,,,,10981,,2196200,200,
Алкалоид Скопје,,,,,11640,,11640000,1000,
Алкалоид Скопје,,,,,11640,,2328000,200,
Алкалоид Скопје,,,,,8532,,13651200,1600,
Гранит Скопје,,,,,1100,,2200000,2000,
Реплек Скопје,,,,,85000,,5100000,60,
Стопанска банка Битола,,,,,3180,,5724000,1800,
Стопанска банка Битола,,,,,2903,,48059165,16555,
ТТК Банка АД Скопје,,,,,1600,,5152000,3220,
ТТК Банка АД Скопје,,,,,1680,,2184000,1300,
ТТК Банка АД Скопје,,,,,1600,,3616000,2260,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,14540,,3824020,263,
НЛБ Банка АД Скопје,,,,,18200,,18200000,1000,
НЛБ Банка АД Скопје,,,,,18220,,5812180,319,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Еуролинк осигурување АД Скопје,,,,,336109.38,,1075550016,3200,
Осигурително брокерско друштво Кораб ИНС АД Скопје,,,,,1000,,3999000,3999,
