МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2020 ДО 30.09.2020 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,7149,6350,6350,6950,621,153564624,22531,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,12999,12199,12200,12500,271,60379964,4825,20
Бетон Скопје,255.65 EUR,6485,6100,6100,6485,7,610765,97,4
Фершпед Скопје,37400.00 MKD,62000,61000,61000,61000,4,2747000,45,4
Гранит Скопје,5.00 EUR,1039,975,975,1030,164,35488660,35297,18
Хотели Метропол Охрид,5.00 EUR,291,291,291,291,1,77697,267,1
Макпетрол Скопје,511.29 EUR,70000,62500,62500,70000,188,44915601,662,18
Македонијатурист Скопје,25.56 EUR,4020,3900,4010,4000,21,2414525,604,8
Охридска банка АД Скопје,2650.00 MKD,4650,4650,4650,4650,1,186000,40,1
Реплек Скопје,562.42 EUR,89000,87000,87000,89000,2,619000,7,2
РЖ Услуги Скопје,5.11 EUR,59,55,55,56,4,69965,1225,3
Стопанска банка Битола,3000.00 MKD,2972,2600,2601,2922,52,6374749,2303,15
Макстил Скопје,5.11 EUR,77,67,67,72,19,643941,8627,9
Тетекс Тетово,50.40 EUR,2004,1595,1595,2004,21,2255035,1247,7
ВВ Тиквеш АД Кавадарци,51.13 EUR,4502,4400,4400,4502,8,860820,192,6
ТТК Банка АД Скопје,1000.00 MKD,1360,1279,1279,1300,35,3404747,2545,9
ЗК Пелагонија Битола,70.21 EUR,2650,2500,2500,2650,6,331389,131,4
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 11,1.00 EUR,99,99,99,99,1,61872.06,1013,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,2,279429.51,4575,2
Р. Македонија - денационализација 16,1.00 EUR,99,99,99,99,3,631113.49,10333,2
Р. Македонија - денационализација 17,1.00 EUR,99,98.5,99,99,3,575275.04,9422,3
Р. Македонија - денационализација 18,1.00 EUR,99,99,99,99,1,610780.5,10000,1
Задолжителна котација - обични акции,,,,,,,,,
Кристал 1923 АД Велес,25.56 EUR,150,150,150,150,1,210000,1400,1
Градски Трговски Центар Скопје,50.00 EUR,1794,1790,1794,1790,2,53760,30,2
Лотарија на Македонија Скопје,51.03 EUR,106,106,106,106,2,4982,47,2
ОКТА Скопје,51.12 EUR,3600,3061,3153,3600,21,1089704,326,6
Прилепска Пиварница Прилеп,125.00 EUR,32445,32445,32445,32445,8,13270005,409,3
Раде Кончар Скопје,20.00 EUR,,,,1801,1,0,0,1
Силекс Кратово,42.96 EUR,70,70,70,70,1,16380,234,1
Сковин Скопје,310.00 MKD,50,50,50,50,2,6900,138,2
Стопанска банка Скопје,201.10 MKD,1190,1080,1080,1140,102,15193532,13052,12
Македонски Телеком Скопје,100.00 MKD,320,315,318,318,27,2414737,7578,10
НЛБ Банка АД Скопје,1000.00 MKD,17700,16500,16900,17600,73,17582233,1024,13
Универзална Инвестициона Банка Скопје,1000.00 MKD,2425,2399,2425,2400,39,11761009,4900,8
Цементарница УСЈЕ Скопје,3100.00 MKD,25001,24500,24500,25001,6,917515,37,3
Жито Полог Тетово,51.13 EUR,1800,1800,1800,1800,11,4563000,2535,3
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,550,550,550,550,1,55000,100,1
Вкупно Официјален пазар,,,,,,1732,384241709.6,147798,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Коста Абраш Охрид,51.13 EUR,600,600,600,600,1,44400,74,1
Текстил Елма Прилеп,51.00 EUR,1357,1357,1357,1357,2,1126310,830,1
Квасара Битола,51.13 EUR,14606,14606,14606,14606,1,43818,3,1
Лихнида Охрид,10.22 EUR,615,615,615,615,1,3690,6,1
Вардар АД с. Брвеница,10.00 DEM,10,10,10,10,5,7540,754,2
Вкупно Редовен пазар,,,,,,10,1225758,1667,
Вкупно сите пазари ,,,,,,1742,385467467.6,149465,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,6900,,2104500,305,
Комерцијална банка Скопје,,,,,6750,,2760750,409,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,12700,,2006600,158,
Макпетрол Скопје,,,,,66000,,2574000,39,
Задолжителна котација - обични акции,,,,,,,,,
Раде Кончар Скопје,,,,,1747,,2620500,1500,
НЛБ Банка АД Скопје,,,,,16500,,10890000,660,
