МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2021 ДО 29.04.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,8451,7955,7999,8405,336,92532554,11168,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,15289,14440,14450,14972,309,86923574,5845,21
Бетон Скопје,255.65 EUR,5000,4901,4901,5000,8,499802,100,3
Фершпед Скопје,37400.00 MKD,67999,64101,66700,67999,11,2919769,44,6
Гранит Скопје,5.00 EUR,1131,1067,1073,1101,217,93816972,84603,17
Хотели Метропол Охрид,5.00 EUR,250,250,250,250,6,192500,770,3
Макпетрол Скопје,511.29 EUR,73500,72000,72500,73500,138,39802072,546,20
Македонијатурист Скопје,25.56 EUR,4284,4100,4161,4250,33,14718079,3527,11
Охридска банка АД Скопје,2650.00 MKD,5500,5500,5500,5500,2,412500,75,1
Реплек Скопје,562.42 EUR,116337,99000,99450,113839,184,115559669,1026,8
РЖ Услуги Скопје,5.11 EUR,52,52,52,52,3,25844,497,1
Стопанска банка Битола,3000.00 MKD,3221,3000,3221,3045,40,7517063,2456,9
Скопски Пазар Скопје,51.13 EUR,6141,6141,6141,6141,1,6141,1,1
Макстил Скопје,5.11 EUR,71,61,62,71,41,2391015,36710,11
Тетекс Тетово,50.40 EUR,2049,1858,1890,2000,24,2901486,1522,8
ВВ Тиквеш АД Кавадарци,51.13 EUR,5258,5000,5100,5200,9,5848188,1158,7
ТТК Банка АД Скопје,1000.00 MKD,1500,1415,1415,1500,26,3490914,2407,10
Витаминка Прилеп,52.78 EUR,13135,13135,13135,13135,1,1510525,115,1
ЗК Пелагонија Битола,70.21 EUR,3644,3644,3644,3644,1,25508,7,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - државна обврзница DO2020/15-1235dk,10000.00 MKD,100,100,100,100,4,3600000,360,1
Р. Македонија - државна обврзница DO2019/10-0749dk,10000.00 MKD,101.6,101.6,101.6,101.6,1,203200,20,1
Р. Македонија - денационализација 10,1.00 EUR,99,99,99,99,1,3781.93,62,1
Р. Македонија - денационализација 11,1.00 EUR,99.5,99.5,99.5,99.5,1,8766.89,143,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,7196.73,118,1
Р. Македонија - денационализација 16,1.00 EUR,99.5,99.5,99.5,99.5,1,112666.95,1838,1
Р. Македонија - денационализација 19,1.00 EUR,99.9,99.7,99.9,99.7,63,16410121.53,266846,18
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,750,750,750,750,2,127500,170,2
Аутомакедонија Скопје,44.48 EUR,2429,2309,2309,2429,5,1440667,598,3
Рудници Бањани Скопје,50.00 DEM,603,603,603,603,1,121203,201,1
Кристал 1923 АД Велес,25.56 EUR,146,146,146,146,1,43800,300,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,4,261200,653,2
Фустеларко Борец Битола,37.65 EUR,1500,1500,1500,1500,4,619500,413,2
Лотарија на Македонија Скопје,51.03 EUR,206,206,206,206,1,7210,35,1
Мода Свети Николе,1.00 EUR,100,100,100,100,1,64400,644,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,15,287718,474,9
ОКТА Скопје,51.12 EUR,3600,3301,3400,3476,5,406162,116,4
Прилепска Пиварница Прилеп,125.00 EUR,34600,34500,34600,34501,6,932334,27,5
Либерти АД Скопје,5.11 EUR,50,50,50,50,2,40400,808,2
РЖ Техничка контрола Скопје,5.11 EUR,650,650,650,650,2,9750,15,2
Славеј Скопје,50.00 EUR,3100,3100,3100,3100,1,930000,300,1
Стопанска банка Скопје,201.10 MKD,1180,1080,1100,1150,65,11758006,10268,15
Македонски Телеком Скопје,100.00 MKD,330,326,326,330,12,1161552,3526,7
НЛБ Банка АД Скопје,1000.00 MKD,20299,18800,18800,20299,71,19232899,993,16
Универзална Инвестициона Банка Скопје,1000.00 MKD,2580,2580,2580,2580,1,258000,100,1
Цементарница УСЈЕ Скопје,3100.00 MKD,29768,28901,29000,29768,4,440178,15,3
Вкупно Официјален пазар,,,,,,1665,529582388.03,441620,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Квасара Битола,51.13 EUR,13000,13000,13000,13000,2,78000,6,2
Мое осигурување АД Скопје,10.00 EUR,90,90,90,90,1,90000,1000,1
Опфолио АД Скопје,100.00 EUR,100,100,100,100,6,75000,750,1
РИМИ АД Штип,5.11 EUR,315,315,315,315,1,406980,1292,1
АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација,5.11 EUR,8,5,8,5,6,21872,3781,3
Вкупно Редовен пазар,,,,,,16,671852,6829,
Вкупно сите пазари ,,,,,,1681,530254240.03,448449,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,8129,,2032250,250,
Комерцијална банка Скопје,,,,,7751,,2325300,300,
Комерцијална банка Скопје,,,,,7751,,46506000,6000,
Комерцијална банка Скопје,,,,,7751,,11626500,1500,
Комерцијална банка Скопје,,,,,8100,,8100000,1000,
Комерцијална банка Скопје,,,,,8400,,16800000,2000,
Комерцијална банка Скопје,,,,,8056,,2014000,250,
Берзанска котација - обични акции,,,,,,,,,
Гранит Скопје,,,,,1050,,27585600,26272,
Реплек Скопје,,,,,108000,,3024000,28,
Реплек Скопје,,,,,108000,,3024000,28,
Реплек Скопје,,,,,115000,,5750000,50,
Реплек Скопје,,,,,113839,,17417367,153,
ВВ Тиквеш АД Кавадарци,,,,,5100,,10098000,1980,
