МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.08.2021 ДО 31.08.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,11111,9489,9710,10610,646,183681002,17848,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,17000,15799,15801,17000,205,51869982,3213,21
Бетон Скопје,255.65 EUR,4125,4000,4123,4000,9,455425,112,2
Гранит Скопје,5.00 EUR,1349,1210,1229,1349,83,15228707,12112,16
Макпетрол Скопје,511.29 EUR,83000,74000,74000,79997,174,59569579,773,19
Македонијатурист Скопје,25.56 EUR,4600,4449,4475,4600,27,8443624,1853,9
Реплек Скопје,562.42 EUR,105000,100000,102000,105000,9,1428806,14,5
Стопанска банка Битола,3000.00 MKD,3150,2950,3150,3000,13,1287150,425,9
Макстил Скопје,5.11 EUR,100,91,96,99,34,2130156,22280,9
Тетекс Тетово,50.40 EUR,2244,1950,2083,2244,40,11017298,5295,8
ВВ Тиквеш АД Кавадарци,51.13 EUR,5210,5200,5200,5210,11,2215450,426,5
ТТК Банка АД Скопје,1000.00 MKD,1525,1380,1479,1450,59,8400350,5741,14
ЗК Пелагонија Битола,70.21 EUR,3601,3600,3600,3601,4,183643,51,4
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,5665,5665,5665,5665,1,5665,1,1
Берзанска котација - обврзници,,,,,,,,,
Централна кооперативна банка АД Скопје - конвертибилни обврзници,1000.00 EUR,100,100,100,100,2,15374825,250,1
Р. Македонија - денационализација 15,1.00 EUR,99,99,99,99,1,44808.66,736,1
Р. Македонија - денационализација 16,1.00 EUR,99.8,99.8,99.8,99.8,1,54252.86,884,1
Р. Македонија - денационализација 17,1.00 EUR,99.8,99.8,99.8,99.8,1,87829.49,1431,1
Р. Македонија - денационализација 18,1.00 EUR,99.8,99.8,99.8,99.8,2,96664.7,1575,2
Р. Македонија - денационализација 19,1.00 EUR,99.8,99.7,99.7,99.8,16,1157007.87,18857,5
Р. Македонија - денационализација 20,1.00 EUR,99.9,99.6,99.6,99.9,312,206989675.07,3372272,17
Задолжителна котација - обични акции,,,,,,,,,
Мермерен комбинат Прилеп,1.00 EUR,2500,2500,2500,2500,1,32500,13,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,6,97120,160,5
Оилко КДА Скопје,6000.00 MKD,,,,6000,1,0,0,1
ОКТА Скопје,51.12 EUR,3700,3508,3552,3521,11,685780,189,6
Либерти АД Скопје,5.11 EUR,62,61,61,61,4,182916,2968,4
Сковин Скопје,310.00 MKD,11,11,11,11,2,16500,1500,2
Стопанска банка Скопје,201.10 MKD,1360,1240,1240,1353,151,36278397,27847,15
Тајмиште Кичево,51.13 EUR,970,970,970,970,1,5591080,5764,1
Македонски Телеком Скопје,100.00 MKD,340,320,325,340,23,4212358,12934,9
НЛБ Банка АД Скопје,1000.00 MKD,26999,23500,23500,26750,161,59524166,2323,20
Универзална Инвестициона Банка Скопје,1000.00 MKD,2899,2898,2899,2899,4,724660,250,2
Цементарница УСЈЕ Скопје,3100.00 MKD,33536,31501,31501,33536,2,197146,6,2
Триглав осигурување Скопје,50.00 EUR,10000,10000,10000,10000,1,1160000,116,1
Вкупно Официјален пазар,,,,,,2018,678424523.65,3520219,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Делта инс брокер АД Скопје,1000.00 EUR,34443,34443,34443,34443,2,1722150,50,1
ГА-МА АД Скопје,18806250.00 EUR,,,,,1,0,0,1
Инекс Горица Охрид,51.00 EUR,1800,1800,1800,1800,2,14130000,7850,1
Квасара Битола,51.13 EUR,13000,13000,13000,13000,1,390000,30,1
Ризико осигурување АД Скопје,25.00 EUR,750,750,750,750,2,750000,1000,1
Синцеритас АД Скопје,1.00 EUR,,,,,1,0,0,1
Сточар Струга,10.00 DEM,14,14,14,14,2,959546,68539,1
Вкупно Редовен пазар,,,,,,11,17951696,77469,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на акции,,,,,,,,,
Адинг АД Скопје - јавна понуда за продажба на сопствени акции,9.98 EUR,699,699,699,699,8,1398000,2000,1
Јавна понуда на обврзници,,,,,,,,,
СН Осигурителен Брокер АД Битола - јавна понуда за запишување на корпоративни обврзници,10000.00 MKD,100,100,100,100,1,5000000,500,1
Вкупно Јавна понуда на хв,,,,,,9,6398000,2500,
Вкупно сите пазари ,,,,,,2038,702774219.65,3600188,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,9800,,19600000,2000,
Комерцијална банка Скопје,,,,,10750,,10750000,1000,
Комерцијална банка Скопје,,,,,10500,,5250000,500,
Комерцијална банка Скопје,,,,,10500,,3255000,310,
Комерцијална банка Скопје,,,,,10690,,2672500,250,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,16000,,7184000,449,
Гранит Скопје,,,,,1230,,4920000,4000,
Тетекс Тетово,,,,,2021,,10105000,5000,
ТТК Банка АД Скопје,,,,,1425,,2488050,1746,
Задолжителна котација - обични акции,,,,,,,,,
Оилко КДА Скопје,,,,,6000,,4260000,710,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
ГА-МА АД Скопје,,,,,2015382127,,2015382127,1,
Синцеритас АД Скопје,,,,,61,,11614400,190400,
