МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2021 ДО 30.06.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,8950,8649,8649,8802,344,111622177,12759,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,16500,15400,15797,15500,320,92157981,5757,21
Бетон Скопје,255.65 EUR,4581,4581,4581,4581,3,224469,49,3
Фершпед Скопје,37400.00 MKD,66000,66000,66000,66000,1,66000,1,1
Гранит Скопје,5.00 EUR,1270,1170,1250,1200,76,18618070,15042,17
Хотели Метропол Охрид,5.00 EUR,250,250,250,250,3,137500,550,2
Макпетрол Скопје,511.29 EUR,76999,72500,74110,76000,118,33468101,448,18
Македонијатурист Скопје,25.56 EUR,4630,4500,4630,4500,21,3063760,667,7
Охридска банка АД Скопје,2650.00 MKD,5744,5336,5570,5744,7,481433,86,3
Реплек Скопје,562.42 EUR,109100,108000,109100,108000,5,652199,6,4
Стопанска банка Битола,3000.00 MKD,3199,3020,3020,3150,33,3698039,1205,11
Скопски Пазар Скопје,51.13 EUR,5300,5300,5300,5300,1,15900,3,1
Макстил Скопје,5.11 EUR,93,85,90,93,29,1637835,18154,14
Тетекс Тетово,50.40 EUR,2069,2040,2069,2040,4,509100,247,4
ВВ Тиквеш АД Кавадарци,51.13 EUR,5300,5200,5300,5200,4,391180,75,4
ТТК Банка АД Скопје,1000.00 MKD,1500,1451,1500,1451,26,5166559,3464,10
Витаминка Прилеп,52.78 EUR,13500,13500,13500,13500,4,1728000,128,2
ЗК Пелагонија Битола,70.21 EUR,3660,3660,3660,3660,2,106140,29,2
Берзанска котација - обврзници,,,,,,,,,
Централна кооперативна банка АД Скопје - конвертибилни обврзници,1000.00 EUR,100,100,100,100,2,30839750,500,1
Р. Македонија - државна обврзница DO2020/15-1235dk,10000.00 MKD,100,100,100,100,5,4200000,420,1
Р. Македонија - денационализација 11,1.00 EUR,99.5,99.5,99.5,99.5,4,103330.91,1684,2
Р. Македонија - денационализација 12,1.00 EUR,99.5,99.5,99.5,99.5,2,59679.52,973,1
Р. Македонија - денационализација 14,1.00 EUR,100,99.5,99.5,100,2,270029.24,4392,2
Р. Македонија - денационализација 15,1.00 EUR,100,99,99.5,99,4,437306.26,7141,4
Р. Македонија - денационализација 16,1.00 EUR,100.7,99.5,99.5,100.7,18,8882519.72,143039,2
Р. Македонија - денационализација 17,1.00 EUR,99.6,99.6,99.6,99.6,4,273267.02,4448,4
Р. Македонија - денационализација 18,1.00 EUR,100.7,99,99.2,99,16,6845438.75,110538,3
Р. Македонија - денационализација 19,1.00 EUR,99.9,99.8,99.8,99.8,34,8495008.54,137984,14
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,661,661,661,661,1,33050,50,1
Аутомакедонија Скопје,44.48 EUR,,,,2500,1,0,0,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,2,40000,100,1
Лотарија на Македонија Скопје,51.03 EUR,206,206,206,206,1,6180,30,1
Пелистерка АД Скопје,51.00 EUR,2400,2400,2400,2400,1,117600,49,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,8,140217,231,6
ОКТА Скопје,51.12 EUR,3760,3400,3760,3400,8,747927,204,7
Попова Кула Демир Капија,61.50 MKD,16,16,16,16,1,20800,1300,1
Прилепска Пиварница Прилеп,125.00 EUR,34500,34500,34500,34500,2,13213500,383,1
Либерти АД Скопје,5.11 EUR,70,52,55,52,8,229035,4068,7
Стопанска банка Скопје,201.10 MKD,1275,1183,1250,1200,91,23128017,18554,14
Македонски Телеком Скопје,100.00 MKD,355,326,352,344,40,126855946,388528,13
НЛБ Банка АД Скопје,1000.00 MKD,23830,21400,21400,23000,92,25564624,1171,16
Трготекстил малопродажба Скопје,5.11 EUR,97,97,97,97,1,4850,50,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,2920,2750,2750,2919,26,6513079,2311,4
Цементарница УСЈЕ Скопје,3100.00 MKD,29001,29000,29000,29001,2,87001,3,2
Триглав осигурување Скопје,50.00 EUR,11000,11000,11000,11000,3,682000,62,1
Вкупно Официјален пазар,,,,,,1380,531534598.96,886883,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Еурохаус АД Скопје,1.00 EUR,30,30,30,30,5,1200000,40000,1
Гетро Гостивар,10726.00 MKD,3000,3000,3000,3000,1,39000,13,1
Слободен пазар - обични акции,,,,,,,,,
Град. институт Македонија Скопје,51.12 EUR,9240,9240,9240,9240,1,563640,61,1
Југоопрема Скопје,51.00 EUR,6700,6700,6700,6700,1,67000,10,1
Козјак Куманово,25.60 EUR,250,250,250,250,2,1713250,6853,1
Квасара Битола,51.13 EUR,13000,13000,13000,13000,3,572000,44,3
Омада Осигурување АД Скопје,62.00 MKD,30,30,30,30,13,1500000,50000,1
Очна оптика Геталдус Скопје,44.00 DEM,2770,2770,2770,2770,3,869780,314,1
РК Голден АРТ - КЛ7 АД Скопје,25.00 EUR,1542,1542,1542,1542,2,385500,250,1
Вкупно Редовен пазар,,,,,,31,6910170,97545,
Вкупно сите пазари ,,,,,,1411,538444768.96,984428,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,8400,,2520000,300,
Комерцијална банка Скопје,,,,,8400,,2856000,340,
Комерцијална банка Скопје,,,,,8700,,2001000,230,
Комерцијална банка Скопје,,,,,8500,,4335000,510,
Комерцијална банка Скопје,,,,,8500,,22822500,2685,
Комерцијална банка Скопје,,,,,8490,,22838100,2690,
Комерцијална банка Скопје,,,,,8470,,30746100,3630,
Комерцијална банка Скопје,,,,,8750,,427323750,48837,
Комерцијална банка Скопје,,,,,8450,,15032550,1779,
Комерцијална банка Скопје,,,,,8750,,37730000,4312,
Комерцијална банка Скопје,,,,,8675,,309150975,35637,
Комерцијална банка Скопје,,,,,8750,,17500000,2000,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,16300,,5476800,336,
Макпетрол Скопје,,,,,74000,,3626000,49,
Реплек Скопје,,,,,108000,,7236000,67,
Тетекс Тетово,,,,,2130,,3408000,1600,
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,,,,,2400,,7576800,3157,
НЛБ Банка АД Скопје,,,,,22620,,22620000,1000,
НЛБ Банка АД Скопје,,,,,24500,,29400000,1200,
НЛБ Банка АД Скопје,,,,,24500,,14308000,584,
НЛБ Банка АД Скопје,,,,,22500,,22500000,1000,
