МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 04.05.2021 ДО 31.05.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,8800,8390,8450,8699,473,176797056,20796,18
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,16000,14901,15000,15797,199,57338000,3717,18
Бетон Скопје,255.65 EUR,4995,4365,4850,4500,15,993725,209,4
Фершпед Скопје,37400.00 MKD,68000,66000,68000,66100,4,668100,10,4
Гранит Скопје,5.00 EUR,1300,1114,1114,1235,112,18440882,14883,14
Макошпед Скопје,1000.00 MKD,250,250,250,250,2,380000,1520,1
Хотели Метропол Охрид,5.00 EUR,250,250,250,250,2,42500,170,2
Макпетрол Скопје,511.29 EUR,76800,72000,73495,74103,122,31151100,422,17
Македонијатурист Скопје,25.56 EUR,4690,4366,4501,4660,78,27605818,6260,9
Охридска банка АД Скопје,2650.00 MKD,5577,5500,5500,5577,7,3571942,646,4
Реплек Скопје,562.42 EUR,107039,107039,,107039,3,107039,1,3
РЖ Услуги Скопје,5.11 EUR,59,52,52,59,3,44974,842,2
Стопанска банка Битола,3000.00 MKD,3195,3010,3045,3015,45,7929130,2620,9
Скопски Пазар Скопје,51.13 EUR,5300,5300,5300,5300,2,15900,3,2
Макстил Скопје,5.11 EUR,106,71,72,95,99,4303854,47082,15
Тетекс Тетово,50.40 EUR,2163,2000,2000,2163,5,452815,225,3
Тутунски комбинат Прилеп,51.13 EUR,250,250,250,250,1,7500,30,1
ВВ Тиквеш АД Кавадарци,51.13 EUR,5300,5001,5064,5300,8,1559977,300,6
ТТК Банка АД Скопје,1000.00 MKD,1520,1470,1480,1515,16,1689500,1136,8
Витаминка Прилеп,52.78 EUR,13500,13500,13500,13500,3,1215000,90,1
Жито Лукс Скопје,35.79 EUR,170,170,170,170,5,195160,1148,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 17,1.00 EUR,99.7,99.5,99.5,99.6,6,366202.81,5975,2
Р. Македонија - денационализација 18,1.00 EUR,99.2,99.2,99.2,99.2,3,117905.67,1931,1
Р. Македонија - денационализација 19,1.00 EUR,99.8,99.7,99.8,99.7,28,4383695.12,71408,13
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,750,633,750,633,2,100800,150,2
Аутомакедонија Скопје,44.48 EUR,2500,2500,2500,2500,3,530000,212,3
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,2,60000,150,2
Фустеларко Борец Битола,37.65 EUR,1568,1568,1568,1568,1,39200,25,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,9,164497,271,7
ОКТА Скопје,51.12 EUR,3800,3347,3450,3800,16,1693648,471,10
Прилепска Пиварница Прилеп,125.00 EUR,34500,34500,34500,34500,3,1621500,47,2
Раде Кончар Скопје,20.00 EUR,2001,2001,2001,2001,1,260130,130,1
Либерти АД Скопје,5.11 EUR,51,50,50,51,2,74831,1481,2
РЖ Уготур Скопје,1.05 EUR,,,,28,1,0,0,1
Стопанска банка Скопје,201.10 MKD,1250,1121,1160,1250,89,13660961,11497,16
Македонски Телеком Скопје,100.00 MKD,355,326,330,345,25,2539625,7456,7
НЛБ Банка АД Скопје,1000.00 MKD,21630,19700,19700,21351,66,20872152,990,10
Универзална Инвестициона Банка Скопје,1000.00 MKD,2800,2550,2560,2800,48,7968513,3011,9
Триглав осигурување Скопје,50.00 EUR,11000,11000,11000,11000,1,1320000,120,1
Вкупно Официјален пазар,,,,,,1510,390283632.6,207435,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Агро Стрмош Скопје,100.00 DEM,676,676,676,676,2,42588,63,1
АТП Пролетер Крива Паланка,50.00 EUR,615,615,615,615,1,12300,20,1
Бутел Погребен сервис АД Скопје,50.00 EUR,6000,3000,6000,3000,2,147000,25,2
Градинар Охрид,100.00 DEM,310,310,310,310,3,49290,159,1
Квасара Битола,51.13 EUR,13000,13000,13000,13000,1,1105000,85,1
АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација,5.11 EUR,11,9,9,11,4,13784,1278,3
Вкупно Редовен пазар,,,,,,13,1369962,1630,
Вкупно сите пазари ,,,,,,1523,391653594.6,209065,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,8402,,6746806,803,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,15000,,2670000,178,
Гранит Скопје,,,,,1164,,5820000,5000,
Гранит Скопје,,,,,1200,,8400000,7000,
Гранит Скопје,,,,,1200,,9600000,8000,
Гранит Скопје,,,,,1200,,9600000,8000,
Гранит Скопје,,,,,1268,,6340000,5000,
Реплек Скопје,,,,,90133,,18026600,200,
Реплек Скопје,,,,,90000,,9000000,100,
Задолжителна котација - обични акции,,,,,,,,,
РЖ Уготур Скопје,,,,,58,,5017000,86500,
