МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2021 ДО 29.10.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,11000,9801,10200,10800,718,247652689,23998,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,18000,16500,17200,17799,268,72949289,4196,20
Фершпед Скопје,37400.00 MKD,61700,61700,61700,61700,3,308500,5,2
Гранит Скопје,5.00 EUR,1400,1300,1310,1366,79,17062067,12941,15
Макпетрол Скопје,511.29 EUR,80001,73100,75010,79053,145,38306606,496,15
Македонијатурист Скопје,25.56 EUR,4799,4652,4700,4750,36,13323508,2858,5
Реплек Скопје,562.42 EUR,109000,105000,109000,106000,27,7641002,72,1
Стопанска банка Битола,3000.00 MKD,3490,3000,3000,3490,14,3079716,997,8
Макстил Скопје,5.11 EUR,92,87,90,90,17,633494,7009,7
Тетекс Тетово,50.40 EUR,2498,2180,2180,2498,21,2925957,1312,10
ВВ Тиквеш АД Кавадарци,51.13 EUR,5500,5300,5430,5500,9,2505300,460,4
ТТК Банка АД Скопје,1000.00 MKD,1540,1380,1400,1500,23,3348254,2374,10
ЗК Пелагонија Битола,70.21 EUR,3602,3602,3602,3602,3,255742,71,3
Берзанска котација - обврзници,,,,,,,,,
Централна кооперативна банка АД Скопје - конвертибилни обврзници,1000.00 EUR,100,100,100,100,2,15423750,250,1
Р. Македонија - денационализација 16,1.00 EUR,99.8,99.8,99.8,99.8,1,188039.7,3054,1
Р. Македонија - денационализација 18,1.00 EUR,99.8,99.8,99.8,99.8,5,1395058.99,22661,3
Р. Македонија - денационализација 19,1.00 EUR,99.9,99.9,99.9,99.9,10,868240.05,14088,4
Р. Македонија - денационализација 20,1.00 EUR,99.9,99.9,99.9,99.9,48,14749595.24,239331,15
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,700,700,700,700,3,63700,91,2
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,1,50000,125,1
Карпош Скопје,17.04 EUR,333,332,332,333,4,737295,2215,2
Мермерен комбинат Прилеп,1.00 EUR,2500,2500,2500,2500,1,287500,115,1
Нова стоковна куќа Струмица,1000.00 EUR,61500,61500,61500,61500,2,615000,10,1
ОКТА Скопје,51.12 EUR,3700,3450,3493,3700,10,649240,182,6
РЖ Економика Скопје,10.00 DEM,50,50,50,50,2,51900,1038,1
Либерти АД Скопје,5.11 EUR,65,61,62,65,8,256843,4135,4
РЖ Техничка контрола Скопје,5.11 EUR,420,420,420,420,2,3360,8,1
Стопанска банка Скопје,201.10 MKD,1410,1295,1310,1351,79,15938218,11979,12
Македонски Телеком Скопје,100.00 MKD,341,326,340,340,20,1134215,3335,10
НЛБ Банка АД Скопје,1000.00 MKD,29889,25500,26001,28499,228,95589140,3487,17
Универзална Инвестициона Банка Скопје,1000.00 MKD,2888,2880,2888,2880,3,421144,146,2
Вкупно Официјален пазар,,,,,,1792,558414362.98,363039,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
ФК Пелистер АД Битола,100.00 EUR,6150,6150,6150,6150,3,1156200,188,1
ФК Вардар АД Скопје,250.00 EUR,,,,,1,0,0,1
КИБС АД Скопје,10000.00 MKD,16700,16700,16700,16700,5,10554400,632,1
Квасара Битола,51.13 EUR,13000,13000,13000,13000,2,1339000,103,2
Македонска берза АД Скопје,607.10 EUR,,,,63370,1,0,0,1
Вкупно Редовен пазар,,,,,,12,13049600,923,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на обврзници,,,,,,,,,
СН Осигурителен Брокер АД Битола - јавна понуда за запишување на корпоративни обврзници,10000.00 MKD,100,100,100,100,1,2000000,200,1
Вкупно Јавна понуда на хв,,,,,,1,2000000,200,
Вкупно сите пазари ,,,,,,1805,573463962.98,364162,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
