МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2021 ДО 30.09.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,10779,9746,10699,10230,682,154071135,14887,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,18350,15987,16910,17200,391,94175078,5459,21
Бетон Скопје,255.65 EUR,3601,3601,3601,3601,1,36010,10,1
Фершпед Скопје,37400.00 MKD,62080,62080,62080,62080,2,620800,10,2
Гранит Скопје,5.00 EUR,1349,1300,1315,1305,160,30924640,23694,17
Макошпед Скопје,1000.00 MKD,191,191,191,191,2,107915,565,1
Макпетрол Скопје,511.29 EUR,78000,74000,78000,75500,165,45896620,605,20
Македонијатурист Скопје,25.56 EUR,4999,4700,4999,4700,7,933979,197,5
Реплек Скопје,562.42 EUR,106000,104000,105000,106000,12,2512000,24,8
РЖ Услуги Скопје,5.11 EUR,53,53,53,53,9,371000,7000,2
Стопанска банка Битола,3000.00 MKD,3010,2900,3000,3000,62,8110617,2715,14
Макстил Скопје,5.11 EUR,98,90,95,90,17,1141279,12081,8
Тетекс Тетово,50.40 EUR,2244,2200,2244,2230,8,699300,315,6
Тутунски комбинат Прилеп,51.13 EUR,250,250,250,250,2,1445250,5781,1
ВВ Тиквеш АД Кавадарци,51.13 EUR,5431,5366,5366,5431,3,661932,122,3
ТТК Банка АД Скопје,1000.00 MKD,1450,1410,1450,1410,48,5735570,4001,12
Витаминка Прилеп,52.78 EUR,13502,13502,13502,13502,6,472570,35,6
ЗК Пелагонија Битола,70.21 EUR,3601,3601,3601,3601,1,36010,10,1
Берзанска котација - обврзници,,,,,,,,,
Централна кооперативна банка АД Скопје - конвертибилни обврзници,1000.00 EUR,100,100,100,100,2,15400750,250,1
Р. Македонија - денационализација 16,1.00 EUR,100.1,99.8,100.1,99.8,2,1059102.42,17177,2
Р. Македонија - денационализација 18,1.00 EUR,99.8,99.8,99.8,99.8,1,105566.21,1715,1
Р. Македонија - денационализација 19,1.00 EUR,99.9,99.5,99.8,99.9,24,4020657.44,65343,12
Р. Македонија - денационализација 20,1.00 EUR,100,99.9,99.9,99.9,113,52290180.88,849761,20
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,700,681,681,700,3,76750,111,2
Рудници Бањани Скопје,50.00 DEM,603,603,603,603,1,40401,67,1
Европа Скопје,51.13 EUR,2900,2900,2900,2900,2,333500,115,1
Макпромет Штип,51.13 EUR,553,553,553,553,1,53088,96,1
Мермерен комбинат Прилеп,1.00 EUR,2521,2425,2425,2521,3,340769,137,3
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,6,113509,187,3
