МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.03.2022 ДО 31.03.2022 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,13000,11565,11999,12650,556,164867875,13535,23
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,18500,17201,17201,18000,348,96787055,5500,23
Фершпед Скопје,37400.00 MKD,59500,57000,59500,57000,6,1054930,18,4
Гранит Скопје,5.00 EUR,1320,1200,1200,1300,44,7438798,5900,15
Макошпед Скопје,1000.00 MKD,185,185,185,185,4,129870,702,1
Макпетрол Скопје,511.29 EUR,74000,69101,69101,73500,47,10041098,139,17
Македонијатурист Скопје,25.56 EUR,4600,4600,4600,4600,1,46000,10,1
Реплек Скопје,562.42 EUR,83005,83005,83005,83005,1,83005,1,1
РЖ Услуги Скопје,5.11 EUR,51,51,51,51,4,489600,9600,2
Стопанска банка Битола,3000.00 MKD,3250,2931,3250,3050,10,847366,278,6
Макстил Скопје,5.11 EUR,112,90,92,110,46,2919742,29205,17
Тетекс Тетово,50.40 EUR,2413,2280,2350,2350,27,7371710,3182,6
ВВ Тиквеш АД Кавадарци,51.13 EUR,5500,5450,5500,5500,8,2724400,498,3
ТТК Банка АД Скопје,1000.00 MKD,1390,1260,1352,1390,45,6352451,4635,11
Витаминка Прилеп,52.78 EUR,12150,12150,12150,12150,1,789750,65,1
ЗК Пелагонија Битола,70.21 EUR,,,,3599,2,0,0,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 13,1.00 EUR,98,98,98,98,1,78599.43,1300,1
Р. Македонија - денационализација 19,1.00 EUR,99.8,99,99.8,99,4,1548310.92,25176,3
Р. Македонија - денационализација 20,1.00 EUR,99.9,99.8,99.9,99.8,10,2729206.35,44287,4
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,760,750,750,760,7,1319100,1750,3
Карпош Скопје,17.04 EUR,333,333,333,333,1,185814,558,1
Пелистерка АД Скопје,51.00 EUR,,,,2400,1,0,0,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,1,13961,23,1
ОКТА Скопје,51.12 EUR,3760,3542,3542,3638,21,2155573,588,10
Прилепска Пиварница Прилеп,125.00 EUR,33000,33000,33000,33000,4,1980000,60,1
Раде Кончар Скопје,20.00 EUR,2150,2150,2150,2150,1,15050,7,1
Либерти АД Скопје,5.11 EUR,66,62,63,62,7,288348,4641,5
РЖ Техничка контрола Скопје,5.11 EUR,518,518,518,518,1,60606,117,1
Стопанска банка Скопје,201.10 MKD,1500,1366,1450,1500,53,6260659,4402,18
Македонски Телеком Скопје,100.00 MKD,365,345,355,360,24,2310718,6564,12
ГД-Тиквеш Кавадарци,51.13 EUR,1030,1000,1000,1030,2,44720,44,2
НЛБ Банка АД Скопје,1000.00 MKD,28300,25900,27546,28200,144,35971824,1331,21
Универзална Инвестициона Банка Скопје,1000.00 MKD,2854,2600,2825,2750,19,2850510,1040,9
Цементарница УСЈЕ Скопје,3100.00 MKD,41000,41000,41000,41000,1,205000,5,1
Ветекс Велес,51.13 EUR,1002,1002,1002,1002,2,1167330,1165,1
Жито Полог Тетово,51.13 EUR,,,,2317,1,0,0,1
Вкупно Официјален пазар,,,,,,1455,361128979.7,166326,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Град. институт Македонија Скопје,51.12 EUR,9240,9240,9240,9240,2,1201200,130,1
Квасара Битола,51.13 EUR,12010,12010,12010,12010,1,108090,9,1
СН Осигурителен брокер АД Битола,50.00 EUR,,,,24752,2,0,0,2
Солун 2001 Гевгелија,5.00 EUR,309,309,309,309,1,1545,5,1
СТЕЛ-ЕР АД Штип,5.11 EUR,310,310,310,310,1,33790,109,1
ЗУАС АД Скопје,10.00 DEM,,,,2100,1,0,0,1
Вкупно Редовен пазар,,,,,,8,1344625,253,
Јавни берзански аукции,,,,,,,,,
