date,max,min,open,close
2006/01,4239,3700,3800,4060
2006/02,4198,4050,4055,4100
2006/03,4100,3900,4099,4001
2006/04,4250,4000,4001,4250
2006/05,4250,3871,4250,3900
2006/06,4150,3900,3900,4050
2006/07,4710,3950,4050,4421
2006/08,5000,4440,4448,4921
2006/09,5890,4900,4921,5600
2006/10,5798,5290,5597,5750
2006/11,5798,5202,5703,5300
2006/12,5600,5150,5300,5360
2007/01,5701,5361,5401,5650
2007/02,6700,5600,5628,6700
2007/03,8100,6804,6950,7900
2007/04,10738,7600,7910,10000
2007/05,10999,9599,10700,9901
2007/06,10050,8800,9970,9300
2007/07,10500,9300,9300,10450
2007/08,14500,10400,10500,14000
2007/09,14000,12900,14000,12900
2007/10,13301,10550,12803,10601
2007/11,12128,8900,10007,8999
2007/12,11451,8997,8997,11369
2008/01,11151,9600,11151,10050
2008/02,11000,9200,10033,10000
2008/03,10500,7999,10000,10100
2008/04,10100,7900,10008,8537
2008/05,9000,8310,8650,8680
2008/06,8500,7102,8500,7711
2008/07,8600,7726,7950,7830
2008/08,7900,7232,7805,7320
2008/09,7400,5851,7326,6199
2008/10,6198,4385,6197,4722
2008/11,4905,3155,4700,3481
2008/12,3701,2850,3646,3000
2009/01,3362,3000,3000,3362
2009/02,3455,2950,3394,3050
2009/03,3050,2445,3001,3050
2009/04,3347,2900,3050,2900
2009/05,4804,2990,3000,4800
2009/06,5100,4250,4804,4600
2009/07,4567,4200,4503,4423
2009/08,4754,4401,4450,4565
2009/09,5287,4564,4565,5200
2009/10,6700,5100,5200,5812
2009/11,5900,4900,5754,5001
2009/12,5299,4662,5050,4720
2010/01,5000,4600,4601,4851
2010/02,5100,4800,4900,4851
2010/03,4850,4590,4850,4651
2010/04,4789,4605,4699,4750
2010/05,4752,4011,4700,4100
2010/06,4101,3636,4100,3950
2010/07,3950,3800,3950,3950
2010/08,4000,3750,3950,3750
2010/09,3750,3300,3750,3350
2010/10,3700,3299,3299,3700
2010/11,3999,3650,3650,3800
2010/12,3960,3800,3800,3959
2011/01,4600,3900,3902,4367
2011/02,4570,4250,4367,4301
2011/03,4501,4250,4350,4350
2011/04,4500,4250,4350,4450
2011/05,4599,4271,4451,4550
2011/06,4552,4151,4550,4400
2011/07,4402,4300,4400,4352
2011/08,4400,4150,4360,4160
2011/09,4198,3850,4186,3960
2011/10,4090,3800,3950,4050
2011/11,4130,3900,4049,3900
2011/12,4000,3799,3902,3960
2012/01,4020,3950,3980,4000
2012/02,4274,3850,3850,4250
2012/03,4340,4100,4274,4160
2012/04,4300,4100,4171,4100
2012/05,4140,4050,4099,4100
2012/06,4070,3930,4070,3931
2012/07,4000,3940,3940,3980
2012/08,4020,3950,3980,4000
2012/09,4000,3870,3962,3965
2012/10,4010,3960,3960,4000
2012/11,4050,3941,4000,4000
2012/12,4200,3955,4000,4200
2013/01,4500,4120,4120,4301
2013/02,4550,4280,4301,4501
2013/03,4600,4400,4511,4450
2013/04,4650,4223,4479,4300
2013/05,4450,4300,4300,4400
2013/06,4440,4300,4395,4300
2013/07,4350,4203,4350,4270
2013/08,4280,4200,4270,4265
2013/09,4270,4150,4270,4211
2013/10,4220,4200,4200,4210
2013/11,4380,4201,4201,4301
2013/12,4532,4300,4302,4500
2014/01,4500,4400,4430,4450
2014/02,4506,4412,4450,4500
2014/03,4700,4500,4507,4650
2014/04,4649,4300,4649,4370
2014/05,4450,4325,4325,4450
2014/06,4482,4300,4400,4370
2014/07,4400,4340,4350,4352
2014/08,4470,4353,4399,4401
2014/09,4489,4400,4400,4450
2014/10,5044,4442,4442,4900
2014/11,5138,4800,4900,5138
2014/12,5210,5000,5138,5100
2015/01,5150,5005,5100,5150
2015/02,5700,5101,5148,5500
2015/03,5500,5000,5500,5056
2015/04,5200,4850,5066,4950
2015/05,5000,4849,4950,4899
2015/06,4940,4710,4861,4780
2015/07,4899,4700,4755,4851
2015/08,4981,4855,4855,4890
2015/09,4998,4850,4900,4970
2015/10,5150,4940,4984,5102
2015/11,5500,5100,5103,5402
2015/12,5485,5400,5403,5442
2016/01,5430,5300,5430,5300
2016/02,5430,5121,5121,5350
2016/03,5351,5200,5350,5200
2016/04,5350,4950,5200,5001
2016/05,5050,4900,5001,5000
2016/06,5015,4915,4952,5014
2016/07,5150,5000,5014,5120
2016/08,5430,5121,5121,5350
2016/09,5450,5305,5397,5450
2016/10,5490,5400,5438,5400
2016/11,5499,5201,5352,5400
2016/12,5440,5300,5400,5350
2017/01,5499,5351,5400,5499
2017/02,5600,5452,5477,5596
2017/03,5716,5596,5596,5715
2017/04,5901,5499,5750,5500
2017/05,5860,5500,5500,5700
2017/06,5850,5701,5701,5805
2017/07,6950,5800,5805,6400
2017/08,6899,6413,6413,6840
2017/09,7601,6790,6840,7500
2017/10,7615,7149,7600,7480
2017/11,7500,7200,7403,7300
2017/12,7500,7300,7350,7500
2018/01,8299,7400,7500,8290
2018/02,8400,7750,8350,8200
2018/03,8302,7910,8250,7910
2018/04,8050,7670,7900,7950
2018/05,8101,7790,7949,8000
2018/06,8400,8000,8039,8200
2018/07,8200,8000,8200,8150
2018/08,8160,7900,8160,7990
2018/09,8450,7901,7902,8355
2018/10,8629,7720,8106,8349
2018/11,8350,8100,8301,8240
2018/12,8300,8050,8150,8200
2019/01,8450,8200,8200,8400
2019/02,8501,8250,8350,8320
2019/03,8500,8220,8300,8500
2019/04,8600,8258,8500,8300
2019/05,9185,8400,8400,9101
2019/06,9100,8695,9099,9050
2019/07,9350,9002,9050,9350
2019/08,10000,9303,9303,9900
2019/09,11500,9821,9822,11150
2019/10,11213,9860,11209,11050
2019/11,11249,11012,11089,11203
2019/12,11901,11201,11220,11900
2020/01,13353,11898,11898,12900
2020/02,13400,12010,12802,12799
2020/03,13200,8354,12840,9782
2020/04,12950,9414,9700,12500
2020/05,12850,12000,12850,12300
2020/06,12299,11400,12250,11999
2020/07,12799,11850,11900,12500
2020/08,12600,12198,12470,12200
2020/09,12999,12199,12200,12500
2020/10,12697,12157,12690,12300
2020/11,12650,12080,12250,12500
2020/12,13499,12311,12311,13200
2021/01,14000,13300,13350,13750
2021/02,14001,13651,13810,14000
2021/03,14530,13999,14000,14300
2021/04,15289,14440,14450,14972
2021/05,16000,14901,15000,15797
2021/06,16500,15400,15797,15500
2021/07,16199,15550,15550,15800
2021/08,17000,15799,15801,17000
2021/09,18350,15987,16910,17200
2021/10,18000,16500,17200,17799
2021/11,17799,16900,17551,17450
2021/12,18501,17400,17400,18170
2022/01,19400,17150,18499,18550
2022/02,19000,16385,18849,17500
2022/03,18500,17201,17201,18000
2022/04,18290,17800,17999,17850
2022/05,17943,16750,17800,17500
2022/06,17990,16451,17500,16751
