,0
Company,Макпетрол Скопје
MAE,[7823.027018229167]
MSE,[75957272.5675621]
RMS,[8715.346956235426]
MAPE,[10.34052750194444]
R2,[0.35977279475693535]
statistics,"['slope: 0.45022729467869105', 'intercept: 45029.97954237445', 'r_value(correlation): 0.599810632414044', 'r^2_value(determination): 0.35977279475693535', 'p_value: 0.0392411210185203', 'std_err: 0.18992613160527952', 'a_r2: 0.360', 'b_r2: 0.360', 'a_t: 2.371', 'b_t: 3.495', 'a_p_value: 0.039', 'b_p_value: 0.006', 'a_std_err: 0.190', 'b_std_err: 12884.822']"
analysis_df,"       names          coef            se  ...   adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  45029.979542  12884.822237  ...  0.29575  16320.806516  73739.152569
1         x1      0.450227      0.189926  ...  0.29575      0.027046      0.873409

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[3]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[69000 68500 73999 73500 71000 72500 73495 74110 75500 74000 78000 75010
 78000 75100 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,"['2022-04-01T00:00:00.000000000' '2022-05-01T00:00:00.000000000'
 '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[72500 80000 75000]
predicted_future['date'],"0   2022-04-01
1   2022-05-01
2   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[68509.84 66813.38 66577.59]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
model_loss:,0.16407059133052826
accuracy:,0.29104477167129517
val_loss:,0.04922595992684364
model.summary,"Model: ""sequential_129""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_258 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_259 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_130 (Dropout)       (None, 32)                0         
                                                                 
 dense_259 (Dense)           (None, 16)                528       
                                                                 
 dense_260 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
