,0
Company,Алкалоид Скопје
MAE,[1582.12841796875]
MSE,[3136657.076021115]
RMS,[1771.061002907894]
MAPE,[8.938570994976295]
R2,[0.5219327844759764]
statistics,"['slope: 0.25230910754173896', 'intercept: 13373.590889422492', 'r_value(correlation): 0.7224491570179705', 'r^2_value(determination): 0.5219327844759762', 'p_value: 6.699442378555399e-05', 'std_err: 0.051482399382808845', 'a_r2: 0.522', 'b_r2: 0.522', 'a_t: 4.901', 'b_t: 14.736', 'a_p_value: 0.000', 'b_p_value: 0.000', 'a_std_err: 0.051', 'b_std_err: 907.525']"
analysis_df,"       names          coef          se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  13373.590889  907.524692  ...  0.500202  11491.499871  15255.681907
1         x1      0.252309    0.051482  ...  0.500202      0.145541      0.359077

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,9.459911346435547
accuracy_model,0.0
original_open,"[12250 12311 13350 13810 14000 14450 15000 15797 15550 15801 16910 17200
 17551 17400 18499 18849 17201 17999 17800 17500]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[18499 18849 17201 17999 17800 17500]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[18469.996 18568.992 18632.201 18427.902 18388.219 18287.137]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    7519.015152   6849.823232   7150.914141   7217.540404
std     4124.747966   3729.415067   3906.562612   3954.590278
min     3050.000000   2445.000000   3000.000000   2900.000000
25%     4500.000000   4250.000000   4352.500000   4367.750000
50%     5487.500000   5111.000000   5325.000000   5350.000000
75%     9163.750000   8256.000000   8612.500000   8919.250000
max    19400.000000  17800.000000  18849.000000  18550.000000"
model_loss:,0.08557059615850449
accuracy:,0.2954545319080353
val_loss:,0.18802262842655182
model.summary,"Model: ""sequential_133""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_266 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_267 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_134 (Dropout)       (None, 32)                0         
                                                                 
 dense_267 (Dense)           (None, 16)                528       
                                                                 
 dense_268 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
