,0
Company,Алкалоид Скопје
MAE,[1231.5179850260417]
MSE,[2243669.647496462]
RMS,[1497.88839620863]
MAPE,[7.01556048784903]
R2,[0.590252692660717]
statistics,"['slope: 0.3419914627444023', 'intercept: 11985.48779425303', 'r_value(correlation): 0.7682790460898417', 'r^2_value(determination): 0.590252692660717', 'p_value: 1.1644762134617806e-05', 'std_err: 0.06074953947140645']"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,9.562751770019531
accuracy_model,0.0
original_open,"[12250 12311 13350 13810 14000 14450 15000 15797 15550 15801 16910 17200
 17551 17400 18499 18849 17201 17999 17800 17500]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[18499 18849 17201 17999 17800 17500]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[17436.062 17452.95  17416.768 17139.059 17034.46  16844.518]
df.describe,"                max           min          open         close
count    198.000000    198.000000    198.000000    198.000000
mean    7519.015152   6849.823232   7150.914141   7217.540404
std     4124.747966   3729.415067   3906.562612   3954.590278
min     3050.000000   2445.000000   3000.000000   2900.000000
25%     4500.000000   4250.000000   4352.500000   4367.750000
50%     5487.500000   5111.000000   5325.000000   5350.000000
75%     9163.750000   8256.000000   8612.500000   8919.250000
max    19400.000000  17800.000000  18849.000000  18550.000000"
model_loss:,0.08189252763986588
accuracy:,0.22727273404598236
val_loss:,0.19571015238761902
model.summary,"Model: ""sequential_37""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_74 (LSTM)              (None, 3, 128)            68096     
                                                                 
 lstm_75 (LSTM)              (None, 32)                20608     
                                                                 
 dropout_37 (Dropout)        (None, 32)                0         
                                                                 
 dense_76 (Dense)            (None, 16)                528       
                                                                 
 dense_77 (Dense)            (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
