,0
Company,Гранит Скопје
MAE,[152.16027069091797]
MSE,[33093.36610642277]
RMS,[181.91582148461626]
MAPE,[11.246465556948376]
R2,[0.09980539039559601]
statistics,"['slope: 0.2369666271721545', 'intercept: 1055.049450512439', 'r_value(correlation): 0.3159199113629845', 'r^2_value(determination): 0.09980539039559597', 'p_value: 0.13261071581898212', 'std_err: 0.1517284606896985', 'a_r2: 0.100', 'b_r2: 0.100', 'a_t: 1.562', 'b_t: 5.841', 'a_p_value: 0.133', 'b_p_value: 0.000', 'a_std_err: 0.152', 'b_std_err: 180.622']"
analysis_df,"       names         coef          se  ...    adj_r2    CI[2.5%]    CI[97.5%]
0  Intercept  1055.049451  180.621639  ...  0.058887  680.463097  1429.635804
1         x1     0.236967    0.151728  ...  0.058887   -0.077699     0.551632

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,1.7571786642074585
accuracy_model,0.0
original_open,"[1030 1031 1100 1200 1280 1073 1114 1250 1200 1229 1315 1310 1399 1320
 1390 1337 1200 1301 1405 1380]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[1390 1337 1200 1301 1405 1380]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[1259.9397 1229.9302 1207.4155 1163.2908 1138.5052 1115.7197]
df.describe,"               max          min         open        close
count   198.000000   198.000000   198.000000   198.000000
mean    856.823232   747.151515   795.590909   803.277778
std     506.038916   408.604096   452.281705   454.819012
min     280.000000   259.000000   263.000000   270.000000
25%     498.500000   461.000000   477.750000   480.000000
50%     682.000000   596.000000   634.000000   630.000000
75%    1038.000000   908.750000   969.000000   975.000000
max    3000.000000  2456.000000  2717.000000  2706.000000"
model_loss:,0.2080516517162323
accuracy:,0.1666666716337204
val_loss:,0.04971989244222641
model.summary,"Model: ""sequential_71""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_142 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_143 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_72 (Dropout)        (None, 32)                0         
                                                                 
 dense_143 (Dense)           (None, 16)                528       
                                                                 
 dense_144 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
