,0
Company,Македонијатурист Скопје
MAE,[233.083984375]
MSE,[60040.84777653217]
RMS,[245.03234026661087]
MAPE,[5.051439824557194]
R2,[0.7987309049719508]
statistics,"['slope: 0.4785822425342162', 'intercept: 2525.4533641288435', 'r_value(correlation): 0.8937174637277435', 'r^2_value(determination): 0.7987309049719505', 'p_value: 0.10628253627225644', 'std_err: 0.16987516247292522']"
n_future,[1]
n_past,[3]
n_months_future,[1]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[3700 3900 4551 4498 4550 4161 4501 4630 4550 4475 4999 4700 4800 4700
 4810 4705 4600 4700 4701 4700]"
error_df['date'].values,['2022-06-01T00:00:00.000000000']
error_df['open'].values,[4700]
predicted_future['date'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[4442.407]
df.describe,"                max          min         open        close
count    198.000000   198.000000   198.000000   198.000000
mean    4150.853535  3868.535354  4001.989899  4018.782828
std     1519.301731  1338.551792  1437.550324  1422.188561
min     2400.000000  2015.000000  2051.000000  2351.000000
25%     3050.250000  2852.500000  3000.000000  3000.000000
50%     3749.000000  3500.000000  3605.500000  3645.000000
75%     4800.000000  4500.000000  4700.000000  4659.000000
max    10400.000000  9100.000000  9749.000000  9600.000000"
model_loss:,0.21095766127109528
accuracy:,0.192592591047287
val_loss:,0.0802886113524437
model.summary,"Model: ""sequential_73""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_146 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_147 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_73 (Dropout)        (None, 32)                0         
                                                                 
 dense_146 (Dense)           (None, 16)                528       
                                                                 
 dense_147 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
