,0
Company,Македонијатурист Скопје
MAE,[291.9281311035156]
MSE,[100497.61612092704]
RMS,[317.01358980480165]
MAPE,[6.246930500915282]
R2,[0.3558995107165921]
statistics,"['slope: 0.3037605013633369', 'intercept: 3345.5768456937767', 'r_value(correlation): 0.5965731394528185', 'r^2_value(determination): 0.3558995107165921', 'p_value: 0.0020903606272601335', 'std_err: 0.08712305176859331']"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0.21979625523090363
accuracy_model,0.0
original_open,"[3700 3900 4551 4498 4550 4161 4501 4630 4550 4475 4999 4700 4800 4700
 4810 4705 4600 4700 4701 4700]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[4810 4705 4600 4700 4701 4700]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[4537.6523 4490.9907 4453.3574 4359.8447 4320.2812 4281.145 ]
df.describe,"                max          min         open        close
count    198.000000   198.000000   198.000000   198.000000
mean    4150.853535  3868.535354  4001.989899  4018.782828
std     1519.301731  1338.551792  1437.550324  1422.188561
min     2400.000000  2015.000000  2051.000000  2351.000000
25%     3050.250000  2852.500000  3000.000000  3000.000000
50%     3749.000000  3500.000000  3605.500000  3645.000000
75%     4800.000000  4500.000000  4700.000000  4659.000000
max    10400.000000  9100.000000  9749.000000  9600.000000"
model_loss:,0.1741093546152115
accuracy:,0.2348484843969345
val_loss:,0.06652792543172836
model.summary,"Model: ""sequential_28""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_56 (LSTM)              (None, 3, 128)            68096     
                                                                 
 lstm_57 (LSTM)              (None, 32)                20608     
                                                                 
 dropout_28 (Dropout)        (None, 32)                0         
                                                                 
 dense_58 (Dense)            (None, 16)                528       
                                                                 
 dense_59 (Dense)            (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
