,0
Company,Макпетрол Скопје
MAE,[3020.783203125]
MSE,[10504048.628738403]
RMS,[3240.9950059724565]
MAPE,[4.153114255847585]
R2,[0.6223037642793261]
statistics,"['slope: 0.38073002552922636', 'intercept: 45076.53473215515', 'r_value(correlation): 0.7888623227657194', 'r^2_value(determination): 0.6223037642793261', 'p_value: 0.21113767723428054', 'std_err: 0.20973564422020666', 'a_r2: 0.622', 'b_r2: 0.622', 'a_t: 1.815', 'b_t: 2.951', 'a_p_value: 0.211', 'b_p_value: 0.098', 'a_std_err: 0.210', 'b_std_err: 15276.789']"
analysis_df,"       names          coef            se  ...    adj_r2      CI[2.5%]     CI[97.5%]
0  Intercept  45076.534732  15276.789301  ...  0.433456 -20654.184456  110807.25392
1         x1      0.380730      0.209736  ...  0.433456     -0.521690       1.28315

[2 rows x 9 columns]"
n_future,[1]
n_past,[3]
n_months_future,[1]
plot_x_count,[20]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.3]
loss,0
accuracy_model,0
original_open,"[69000 68500 73999 73500 71000 72500 73495 74110 75500 74000 78000 75010
 78000 75100 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,['2022-06-01T00:00:00.000000000']
error_df['open'].values,[75000]
predicted_future['date'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[72846.22]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
model_loss:,0.19066597521305084
accuracy:,0.21481481194496155
val_loss:,0.045462314039468765
model.summary,"Model: ""sequential_73""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 lstm_146 (LSTM)             (None, 3, 128)            68096     
                                                                 
 lstm_147 (LSTM)             (None, 32)                20608     
                                                                 
 dropout_74 (Dropout)        (None, 32)                0         
                                                                 
 dense_147 (Dense)           (None, 16)                528       
                                                                 
 dense_148 (Dense)           (None, 4)                 68        
                                                                 
=================================================================
Total params: 89,300
Trainable params: 89,300
Non-trainable params: 0
_________________________________________________________________
"
