,0
Company,Макпетрол Скопје
MSE,"[13910063.114278158, 92928593.55745189, 52727669.47011312, 49707089.09071859]"
RMS,"[3729.619701025583, 9639.947798481686, 7261.382063361844, 7050.325459914498]"
MAPE,"[3.7609151104227885, 12.512798948320425, 8.143008606601967, 7.842947236842745]"
R2,"[-1.1005057936528932, -11.202025411453262, -3.051678713009152, -3.2426219497247244]"
n_future,[1]
n_past,[3]
n_months_future,[6]
plot_x_count,[18]
epochs,[100]
batch_size,[4]
optimizer,['sgd']
loss_alg,['mse']
activation,['relu']
validation_split,[0.25]
loss,1.2425894737243652
accuracy,33.33333432674408
original_open,"[73999 73500 71000 72500 73495 74110 75500 74000 78000 75010 78000 75100
 77900 77000 69101 72500 80000 75000]"
error_df['date'].values,"['2022-01-01T00:00:00.000000000' '2022-02-01T00:00:00.000000000'
 '2022-03-01T00:00:00.000000000' '2022-04-01T00:00:00.000000000'
 '2022-05-01T00:00:00.000000000' '2022-06-01T00:00:00.000000000']"
error_df['open'].values,[77900 77000 69101 72500 80000 75000]
predicted_future['date'],"0   2022-01-01
1   2022-02-01
2   2022-03-01
3   2022-04-01
4   2022-05-01
5   2022-06-01
Name: date, dtype: datetime64[ns]"
predicted_future_open,[72796.5   71168.91  70112.8   68318.164 67247.54  66329.25 ]
df.describe,"                 max           min           open         close
count     198.000000     198.00000     198.000000     198.00000
mean    46609.505051   40549.40404   43301.348485   43645.00000
std     32587.516769   27483.62155   29958.697246   29966.60381
min     13000.000000   12000.00000   12000.000000   12000.00000
25%     22737.000000   20163.00000   21503.500000   22000.00000
50%     31170.500000   27516.50000   28999.500000   29201.00000
75%     69500.000000   61375.00000   63000.750000   64000.00000
max    178000.000000  152000.00000  173000.000000  172000.00000"
