date,max,min,start,close
2006/01,280,259,280,270
2006/02,280,260,263,270
2006/03,338,265,265,310
2006/04,350,301,310,330
2006/05,360,305,350,340
2006/06,400,326,335,380
2006/07,435,349,371,428
2006/08,588,420,430,541
2006/09,601,530,539,570
2006/10,591,555,571,591
2006/11,595,570,594,580
2006/12,581,500,581,560
2007/01,750,550,555,687
2007/02,980,651,694,975
2007/03,1450,971,975,1350
2007/04,1900,1250,1301,1850
2007/05,2481,1812,1850,1865
2007/06,2300,1859,1897,2020
2007/07,2300,1953,1953,2300
2007/08,2778,2204,2204,2551
2007/09,3000,2456,2650,2706
2007/10,2760,2125,2717,2200
2007/11,2263,1800,2161,1801
2007/12,2177,1728,1780,2177
2008/01,2100,1960,2052,2000
2008/02,2070,1866,2047,1960
2008/03,1980,1550,1941,1900
2008/04,1949,1424,1928,1695
2008/05,1700,1555,1655,1650
2008/06,1655,1208,1630,1379
2008/07,1572,1350,1389,1450
2008/08,1481,1303,1440,1418
2008/09,1400,1008,1400,1110
2008/10,1103,700,1103,715
2008/11,720,551,715,600
2008/12,628,550,628,590
2009/01,600,571,600,590
2009/02,570,410,570,412
2009/03,419,344,412,417
2009/04,435,380,408,388
2009/05,585,382,390,585
2009/06,680,557,633,600
2009/07,610,531,590,600
2009/08,651,600,605,630
2009/09,810,630,640,810
2009/10,1095,800,834,898
2009/11,916,730,878,790
2009/12,820,704,750,750
2010/01,770,730,730,765
2010/02,837,760,760,825
2010/03,850,741,820,780
2010/04,815,775,780,775
2010/05,780,671,775,700
2010/06,700,622,700,670
2010/07,670,621,665,630
2010/08,640,580,635,580
2010/09,581,456,580,456
2010/10,520,464,465,466
2010/11,540,468,470,510
2010/12,539,500,504,530
2011/01,698,526,526,621
2011/02,670,560,616,581
2011/03,613,567,581,589
2011/04,600,570,585,580
2011/05,630,565,565,630
2011/06,627,600,625,610
2011/07,610,585,610,595
2011/08,600,550,600,571
2011/09,585,509,585,522
2011/10,535,510,530,530
2011/11,535,480,530,480
2011/12,495,447,481,469
2012/01,480,470,470,480
2012/02,515,440,449,515
2012/03,530,500,515,515
2012/04,524,485,524,490
2012/05,500,475,500,475
2012/06,475,460,475,465
2012/07,471,465,465,470
2012/08,480,470,470,480
2012/09,485,472,477,481
2012/10,482,450,481,450
2012/11,455,400,455,400
2012/12,410,359,400,397
2013/01,467,380,380,463
2013/02,460,405,460,405
2013/03,455,405,405,410
2013/04,470,404,404,430
2013/05,440,405,426,405
2013/06,405,377,405,396
2013/07,390,369,376,370
2013/08,381,360,362,373
2013/09,395,370,372,382
2013/10,383,360,383,360
2013/11,365,350,360,360
2013/12,370,350,360,360
2014/01,417,355,360,400
2014/02,403,362,371,385
2014/03,400,380,381,380
2014/04,435,377,380,410
2014/05,460,411,415,420
2014/06,420,390,420,419
2014/07,412,390,392,412
2014/08,430,400,410,430
2014/09,465,426,429,465
2014/10,566,461,461,540
2014/11,580,540,540,570
2014/12,597,555,562,595
2015/01,595,578,578,595
2015/02,595,560,589,575
2015/03,590,537,570,537
2015/04,540,506,521,515
2015/05,520,472,513,485
2015/06,490,460,486,465
2015/07,505,454,470,482
2015/08,490,461,485,461
2015/09,490,460,462,490
2015/10,498,475,497,485
2015/11,485,470,484,480
2015/12,490,475,481,490
2016/01,539,485,490,523
2016/02,540,460,465,511
2016/03,494,461,490,470
2016/04,480,459,480,469
2016/05,480,460,460,466
2016/06,466,420,465,420
2016/07,480,449,450,480
2016/08,540,460,465,511
2016/09,550,506,528,529
2016/10,610,525,537,610
2016/11,640,592,640,600
2016/12,620,577,605,581
2017/01,619,582,582,610
2017/02,700,610,613,671
2017/03,690,671,680,680
2017/04,684,669,670,669
2017/05,750,669,670,735
2017/06,780,706,759,739
2017/07,844,715,730,803
2017/08,890,814,814,878
2017/09,890,850,870,850
2017/10,859,820,850,820
2017/11,850,780,830,799
2017/12,786,750,786,775
2018/01,870,772,780,852
2018/02,869,806,865,807
2018/03,810,750,807,757
2018/04,770,689,752,770
2018/05,820,707,774,750
2018/06,873,750,750,830
2018/07,900,802,840,828
2018/08,830,782,826,810
2018/09,875,800,810,869
2018/10,899,765,839,840
2018/11,865,805,849,805
2018/12,824,753,810,800
2019/01,840,791,800,812
2019/02,824,801,820,810
2019/03,835,805,810,820
2019/04,838,810,815,830
2019/05,929,831,840,895
2019/06,891,831,891,879
2019/07,885,841,880,881
2019/08,905,870,875,900
2019/09,1043,890,900,1040
2019/10,1145,980,1040,1007
2019/11,1102,984,1015,1050
2019/12,1135,1020,1049,1100
2020/01,1250,1115,1134,1200
2020/02,1200,1049,1199,1083
2020/03,1200,696,1100,796
2020/04,1035,774,800,1007
2020/05,1020,951,982,975
2020/06,975,915,971,933
2020/07,980,930,930,962
2020/08,975,945,963,975
2020/09,1039,975,975,1030
2020/10,1060,1000,1030,1053
2020/11,1050,990,1030,1030
2020/12,1119,1030,1031,1119
2021/01,1229,1069,1100,1220
2021/02,1392,1196,1200,1300
2021/03,1280,1052,1280,1062
2021/04,1131,1067,1073,1101
2021/05,1300,1114,1114,1235
2021/06,1270,1170,1250,1200
2021/07,1240,1200,1200,1205
2021/08,1349,1210,1229,1349
2021/09,1349,1300,1315,1305
2021/10,1400,1300,1310,1366
2021/11,1442,1301,1399,1360
2021/12,1430,1310,1320,1401
2022/01,1400,1331,1390,1331
2022/02,1370,1184,1337,1219
2022/03,1320,1200,1200,1300
2022/04,1450,1301,1301,1400
2022/05,1450,1360,1405,1399
2022/06,1400,1320,1380,1320
